Protein,Coefficient,Abs_Coefficient
A0A804HJE2,-0.45961152398094446,0.45961152398094446
B8ZZQ2,0.4001928531535195,0.4001928531535195
Q8N2X6,0.39196751360040466,0.39196751360040466
Q8IV48,-0.3188610045365894,0.3188610045365894
A0A2R8Y5Z7,0.31083777215889824,0.31083777215889824
A0A0J9YYF7,0.24341951644940862,0.24341951644940862
D6RBD9,0.2352060149897374,0.2352060149897374
Q3LI64,-0.21889856745465028,0.21889856745465028
Q9Y2H1,0.2178283887548296,0.2178283887548296
Q9Y458,0.21372136175500195,0.21372136175500195
A0A0G2JMB2,0.21084873781071675,0.21084873781071675
Q92994,-0.21007088212790997,0.21007088212790997
Q5HYK9,0.2013408952626203,0.2013408952626203
E7EWD5,-0.19367270549601273,0.19367270549601273
G3V1D0,0.19242290092139808,0.19242290092139808
A0A2R8YEK3,-0.18530601586501233,0.18530601586501233
A0A6Q8PGG9,0.17455797415510266,0.17455797415510266
K7EJR2,-0.17376656350953912,0.17376656350953912
Q8NE73,-0.15945458551815866,0.15945458551815866
Q5VXH4,0.15822950924461293,0.15822950924461293
E7EX59,0.15423464178352567,0.15423464178352567
A6ND93,-0.1491285517739171,0.1491285517739171
P51854,0.14640122800089037,0.14640122800089037
Q5TZA2,-0.12999594839442455,0.12999594839442455
C9JUU5,0.128763674018144,0.128763674018144
A0A075B700,-0.1264332382254721,0.1264332382254721
H7C5C2,-0.122761576708538,0.122761576708538
H3BV43,0.11165171898087653,0.11165171898087653
F6XDC4,0.10846715058353053,0.10846715058353053
F8WF52,0.10568170843968278,0.10568170843968278
H0YN14,-0.10220717735691606,0.10220717735691606
A0A075B6S2,-0.10128409318075843,0.10128409318075843
A6NK53,-0.0978944952109025,0.0978944952109025
Q14188,0.0978205202469029,0.0978205202469029
I3L0P9,0.09741751152550734,0.09741751152550734
E5RK37,0.0945619395967786,0.0945619395967786
Q9C0B9,0.09294560813765551,0.09294560813765551
J3QLV5,0.09269940874333658,0.09269940874333658
H7BYU6,0.09037886841488214,0.09037886841488214
Q96MK3,0.08989226279204,0.08989226279204
K7ENM7,-0.08915837796171856,0.08915837796171856
Q9Y5G6,0.08760614949459745,0.08760614949459745
P00748,0.08561114708402817,0.08561114708402817
E7EM64,-0.0842842048522811,0.0842842048522811
A0A286YFJ8,0.08193606710588636,0.08193606710588636
J3KMZ8,-0.08149588744893435,0.08149588744893435
E7EVS6,0.08048364332471546,0.08048364332471546
F5GWQ8,0.0787051126536828,0.0787051126536828
Q8N7X0,-0.07591833409382366,0.07591833409382366
Q9UP95,0.07325256352185586,0.07325256352185586
A0A7P0Z4M7,-0.0726750264432595,0.0726750264432595
A0A1B0GVY1,0.07121997895463288,0.07121997895463288
P05164,-0.07088309237279469,0.07088309237279469
F5H6I7,0.06967647764963299,0.06967647764963299
F5H658,0.06841297103554535,0.06841297103554535
Q5T0I0,0.06814902894786458,0.06814902894786458
A0A0J9YVY3,0.06261046146166559,0.06261046146166559
A0A0U1RQE0,0.06098198719026343,0.06098198719026343
A0A7I2V2I0,0.060431415597894146,0.060431415597894146
Q9UKC9,0.059887795684376195,0.059887795684376195
A2NJV5,0.05656089782670405,0.05656089782670405
Q6P0N6,0.05486728421241144,0.05486728421241144
Q01432,-0.05115178175093985,0.05115178175093985
B0YIW2,0.05071714668626411,0.05071714668626411
A0A2R8YFM9,-0.04963441422175139,0.04963441422175139
E7EVW7,-0.048377340437687155,0.048377340437687155
E9PS39,0.045441223427539236,0.045441223427539236
P05771,0.043920073407679144,0.043920073407679144
D6R9P6,0.043320272412903926,0.043320272412903926
Q96AE7,0.04247588219156521,0.04247588219156521
A0A087WTR6,0.038380268515010904,0.038380268515010904
A0A087WVD6,-0.037085305822070626,0.037085305822070626
I3L2W2,-0.036997910477115176,0.036997910477115176
O60840,-0.03670962481709124,0.03670962481709124
Q96A65,-0.03583648702862696,0.03583648702862696
A0A0J9YW37,-0.03451091017871179,0.03451091017871179
A0A7I2V569,-0.03318699433773488,0.03318699433773488
O14983,0.030017014413498383,0.030017014413498383
A0A2R8Y812,0.028681814915517904,0.028681814915517904
A0A6I8PIX7,-0.02808296225544924,0.02808296225544924
A0A499FIG1,-0.027767717272395177,0.027767717272395177
Q15393,0.023481512907426928,0.023481512907426928
Q9UPW8,0.02339880792676088,0.02339880792676088
Q16832,-0.023191957541341686,0.023191957541341686
Q96JB2,0.019681535343466144,0.019681535343466144
Q99571,0.019244705995087735,0.019244705995087735
Q5JWV3,-0.018572462544578866,0.018572462544578866
Q9UKL0,-0.01788148961047733,0.01788148961047733
Q96GS4,-0.017875181822407084,0.017875181822407084
P06331,-0.016448581440511957,0.016448581440511957
F5GWL3,-0.015032342728759524,0.015032342728759524
B4DHQ6,-0.013786360621588136,0.013786360621588136
A0A140T963,0.013010831105659175,0.013010831105659175
P07996,-0.012886436336708763,0.012886436336708763
Q8IVF6,0.012436648292414806,0.012436648292414806
O75145,-0.010814803472659276,0.010814803472659276
Q15166,0.009454686403860617,0.009454686403860617
A6PVN6,0.009419316241026795,0.009419316241026795
P49419,-0.008525146552643378,0.008525146552643378
P45985,0.007820803859700817,0.007820803859700817
Q8N1M1,0.007010123040821872,0.007010123040821872
Q9NVH2,0.006286463864499962,0.006286463864499962
H0YB68,-0.0060687826643624375,0.0060687826643624375
A0A075B6I0,0.004583586183775384,0.004583586183775384
Q6PG37,0.0032802304055483127,0.0032802304055483127
E7EPI0,-0.0008884079272705392,0.0008884079272705392
P23786,-0.00019353248359374995,0.00019353248359374995
