Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
F8W128,9.708733953797704,-16.81492198112629,3.3844315443501807,0.0038782996457481715,0.9709452219668305,-4.505332854506548
A0A1W2PNZ3,-2.4398837458399467,-2.6880172868981367,-3.3825564319539345,0.0038935340931614743,0.9709452219668305,-4.505400374985081
Q9UHC1,-2.251214847497434,-1.0097471248525833,-2.9891874242491747,0.008831411259104123,0.9709452219668305,-4.520090508092141
F6XDC4,2.3968776290073137,-5.920772849934618,2.965570354922721,0.009273392190482233,0.9709452219668305,-4.521003099810074
A0A6Q8PGG9,2.6136170503223752,-2.6072459404780264,2.8981933015843673,0.010656477804112696,0.9709452219668305,-4.523623361196038
Q3MJ40,2.8173070447558173,-7.408252367636751,2.7313005444189438,0.015003144568304984,0.9709452219668305,-4.530210396107897
H3BV43,2.3162559890036905,-3.3729033731336098,2.4342305151126173,0.027292077486929113,0.9709452219668305,-4.542188459272898
E7EWD5,-1.2855576996492184,-0.3376528401216154,-2.43002449747368,0.02752096100001391,0.9709452219668305,-4.542359545046021
Q9Y5H1,-1.4305192542263716,-2.540705522726624,-2.4235164951480876,0.027878694822522546,0.9709452219668305,-4.542624315580952
Q5TZA2,-1.7064829204669327,-0.1297728204669099,-2.350373935747233,0.03221291191671239,0.9709452219668305,-4.545603214988923
H0YDS0,1.7051529851138647,-3.2724721993530963,2.2101796589982396,0.042341278845681445,0.9709452219668305,-4.551317189825022
A0A804HJE2,-3.8014751330124215,-5.153067716673968,-2.1294719158244804,0.049441587387319824,0.9709452219668305,-4.554598877589723
P49419,-1.4330323927263682,-2.7930983004553203,-2.116818584536229,0.05064947678762249,0.9709452219668305,-4.555112288419796
Q13618,-1.847699669885802,-4.790524382359872,-2.109852644318284,0.051325963956542146,0.9709452219668305,-4.555394776258557
A0A7P0Z4M7,2.3553691314740774,-7.660403643275818,2.0394845352706015,0.0586391576116002,0.9709452219668305,-4.558241067264917
F5H658,-1.1869703874721464,-4.868994714701854,-1.9375738286896025,0.07091791926586133,0.9709452219668305,-4.5623322218496565
Q4VC39,1.795221572506816,-5.616074130036421,1.937010116023344,0.07099185345861281,0.9709452219668305,-4.562354725828389
H3BND4,-1.3762979541102864,-2.2929296353166473,-1.9032082474074052,0.07555376719562538,0.9709452219668305,-4.56370120370874
B8ZZQ2,3.7899714483422375,-6.6147039597742125,1.872251011813993,0.07996022951839946,0.9709452219668305,-4.564928982480177
A0A0A0MRY4,1.3683230475245516,-4.364087924503045,1.8691491993414784,0.0804141423253182,0.9709452219668305,-4.565051699646285
A0A2R8Y812,1.5353047483122078,-5.450245287410953,1.824872972000433,0.08714805856271607,0.9709452219668305,-4.566796972551851
Q15059,-0.963184609730468,0.2901197325421837,-1.8138207662277404,0.08890505100730668,0.9709452219668305,-4.567230657807445
A0A087WVD6,1.598599571688527,-2.23640919655889,1.7382718873382557,0.10177427232714804,0.9709452219668305,-4.570171808122714
Q9UK13,-1.3747775164868932,3.345933087178719,-1.7305589167344995,0.10317568153451125,0.9709452219668305,-4.570469618479898
