Protein,Coefficient,Abs_Coefficient
F6XDC4,0.4016089523102618,0.4016089523102618
A0A1W2PNZ3,-0.39871455142985995,0.39871455142985995
Q9UHC1,-0.17774263817568245,0.17774263817568245
H0YDS0,0.15059684844908477,0.15059684844908477
A0A6Q8PGG9,0.1389330804625823,0.1389330804625823
Q3MJ40,0.12341625895329801,0.12341625895329801
E7EWD5,-0.11237975698844413,0.11237975698844413
Q9Y5H1,-0.10942849816831164,0.10942849816831164
E7EX59,0.08615668713958745,0.08615668713958745
F5H658,-0.07542497186173079,0.07542497186173079
K7EJR2,-0.050613093329796376,0.050613093329796376
Q13618,-0.04233786908013806,0.04233786908013806
Q5T0I0,0.03472748587002988,0.03472748587002988
H3BV43,0.030096980268934228,0.030096980268934228
Q5TZA2,-0.02609810445969786,0.02609810445969786
P49419,-0.021774878988192803,0.021774878988192803
A0A7P0TAP4,-0.017713167925122068,0.017713167925122068
Q5VXH4,0.016282775678040654,0.016282775678040654
K7ENM7,-0.009928792470844596,0.009928792470844596
A0A7P0Z4M7,0.00885767700555943,0.00885767700555943
