Protein,Coefficient,Abs_Coefficient
O95747,0.037248216,0.037248216
Q9Y5E4,-0.03698299,0.03698299
A0A2U3TZM7,-0.035077418,0.035077418
Q9Y5H1,-0.033644681,0.033644681034258425
E9PS39,0.033203574,0.033203574
Q02487,-0.032854008,0.032854008
B1ALH6,-0.030899962,0.030899961503152617
O43896,-0.029784679,0.029784679266410388
Q96A65,0.028856827,0.028856827
V9GY82,0.027424424,0.027424424
A0A0C4DH32,-0.025324003,0.025324002981514392
P02100,-0.025084864,0.025084864
Q8NG11,-0.022908455,0.022908455
P07996,0.020917953,0.020917953
F5H481,-0.020912841,0.020912840822962103
Q9ULD4,-0.020610077,0.020610077220859946
A0A7P0TAP4,-0.019303492,0.019303492445510263
E9PM66,-0.019214056,0.019214055961770574
A0A0G2JM25,-0.018150833,0.018150833
J3QRV5,0.017755394,0.017755394
H3BQ17,-0.017589523,0.017589523
A0A1W2PNZ3,-0.016775465,0.016775465124618392
B7Z493,-0.016435314,0.016435314
P69905,-0.016410001,0.016410001337687802
A0A669KBG8,-0.015772126,0.015772125628661315
P10645,-0.015753378,0.015753377650042758
P54284,-0.014748032,0.014748031769264569
A0A7I2V2L4,-0.014466964,0.014466964133667312
A0A1W2PRC7,0.014344880530225118,0.014344880530225118
Q6NSJ2,0.014231185048656007,0.014231185048656007
A6NK53,-0.013823418,0.013823418181819513
A0A0C4DH35,-0.013503982,0.013503981991820098
F6SDV2,-0.013244389,0.013244389
A4D1F6,-0.012751764,0.012751763694308117
Q9BZ23,-0.011396637,0.011396637017017389
O43680,-0.011357692,0.011357692
Q9NP86,-0.0112659,0.011265899910558182
G3V4J5,-0.010943106,0.010943105559740813
Q6R327,-0.010496178,0.010496177997549268
P00519,-0.010279941,0.010279941224966702
Q9BVM2,-0.009969232,0.009969232
P00915,-0.009816372,0.009816372
H0YAS8,-0.009714353,0.009714353
A0A804HIJ8,0.009707861,0.009707861
F8VQF4,-0.009395984,0.009395984
Q7Z406,-0.009194131,0.009194131
C9JLV4,-0.008902762,0.008902762
Q9H765,-0.00847218,0.00847218
O60832,-0.008171791,0.008171791
Q9UK13,-0.007839317,0.007839317
P35908,-0.007802351,0.007802351
Q9NY33,-0.007672404,0.007672404
F8WFE0,0.007489696,0.007489696
Q96P50,-0.007146428,0.007146428
P05089,-0.006868095,0.006868095
Q8N1G4,-0.00617999,0.00617999
Q96PX6,-0.006147595,0.006147595
E7EW31,-0.006039589,0.006039589
Q8TE12,-0.005952029,0.005952029
P18428,0.005888626,0.005888626
F5H252,-0.005825468,0.005825468
A0A2R8Y471,-0.005752517,0.005752517
M0R0X1,-0.005713466,0.005713466
Q9Y2T1,-0.005657472,0.005657472
P01591,-0.005280342,0.005280342
A0A8I5KT31,-0.004738437,0.004738437
Q13033,-0.004244431,0.004244431
J3KTH2,-0.004145018,0.004145018
P13010,0.004028023,0.004028023
Q96QF0,-0.004023178,0.004023178
A0A7I2V2F9,-0.003770315,0.003770315
A0A6Q8PGM3,-0.003620618,0.003620618
Q5VW22,-0.003619889,0.003619889
P01703,-0.00352293,0.00352293
Q96QE3,-0.003480776,0.003480776
A0A3B3IS09,0.003416635,0.003416635
E7EWH8,-0.003234559,0.003234559
A0A0G2JMV4,-0.003182515,0.003182515
A0A8I5KWS6,-0.003124557,0.003124557
P01871,-0.002972113,0.002972113
Q9P000,-0.002929208,0.002929208
Q99571,-0.002797488,0.002797488
A0A7P0T8J3,-0.002670539,0.002670539
Q8IYD8,-0.002608251,0.002608251
A0A0C4DH38,-0.002379814,0.002379814
F5GWJ5,0.002022474,0.002022474
I3L4Y1,-0.001956971,0.001956971
K7ER25,-0.001706065,0.001706065
A0A0A0MT26,-0.001408917,0.001408917
Q9P2K3,-0.001362238,0.001362238
A0A6Q8PGB5,-0.001123602,0.001123602
H3BT71,-0.001077519,0.001077519
Q68D06,-0.000955536,0.000955536
A0A075B6T4,-0.000887568,0.000887568
Q96HU1,-0.000853941,0.000853941
O43307,-0.000836872,0.000836872
Q9H4L7,-0.000642187,0.000642187
D6RA70,-0.000605939,0.000605939
P28072,-0.000492587,0.000492587
H7C2V9,-0.000466427,0.000466427
Q9UNA1,-0.000285847,0.000285847
P58397,-0.000255286,0.000255286
O94885,-0.000178808,0.000178808
A0A2R8Y7X9,-0.000156317,0.000156317
E9PIN0,-0.000116132,0.000116132
P32119,-5.25E-05,5.2451035885529855e-05
Q7Z5M8,-6.18E-06,6.181449131365176e-06
