Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
I3L119,0.1593863275530856,0.08282008198067474,0.0,0.20396080935486943,86.4,False
P04264,0.15801184896653164,0.0912185345335418,0.0,0.2572797605558945,73.8,False
A0A7P0T9D9,0.14877253883049157,0.09508554826671005,0.0,0.18680478373607723,96.39999999999999,False
Q5VZM0,-0.13533753034080237,-0.07374659806158007,-0.17135202998049218,0.0,89.0,False
M0R1J0,-0.12870338444125373,-0.05771593006918515,-0.20042221358818482,0.0,69.8,False
Q9NQZ2,0.1232872497156941,0.07928599372524901,0.0,0.1671156061956839,93.4,False
Q8TDR0,0.11125763826023329,0.05508635523320132,0.0,0.19565165046582172,67.0,False
P02652,-0.11051815351106525,-0.05655504121230496,-0.1627475830659328,0.0,74.0,False
Q9Y235,0.10975352916308057,0.059658742071190395,0.0,0.16148057504130742,81.8,False
K7EJG8,0.10966548793378299,0.06397353899242116,0.0,0.2144397228416989,70.19999999999999,False
D6RGC2,-0.10576774619488406,-0.05349224774772889,-0.1296267815956037,0.0,68.4,False
A0A1B0GUQ4,-0.10541120245135903,-0.05193852713509308,-0.1289997486474151,0.0,79.80000000000001,False
P48200,0.10481707191931736,0.05245116412884072,0.0,0.15987763437657085,68.2,False
A0A096LNW4,0.09861686195536734,0.06107912349360717,0.0,0.2062080699621733,63.800000000000004,False
Q15744,-0.0937813808815178,-0.04488507389353294,-0.1640525797363076,0.0,67.4,False
H0YJ02,-0.09063888439803805,-0.049153202637452126,-0.12433621645365818,0.0,89.4,False
Q5T700,0.08881891507085365,0.049497435306193355,0.0,0.1244872102189711,76.6,False
A0A0C4DH42,0.0885096739283214,0.045771065158190904,0.0,0.13017238991065436,78.0,False
Q15059,-0.08814845590793445,-0.04793628830977508,-0.1372881169253001,0.0,71.8,False
A0A2R8Y7C0,0.08709489414173936,0.06092200501611051,0.0,0.15811025291290273,83.39999999999999,False
Q03112,0.08636052406580075,0.03526023501893377,0.0,0.11615301596433804,62.6,False
Q9Y4G2,0.08550664496879723,0.05628835776076308,0.0,0.1327092828973917,86.2,False
E9PNA8,-0.08448884557129373,-0.03925783742768466,-0.12982761978282847,0.0,67.4,False
C9IZ84,-0.08229896443964764,-0.04412192732384326,-0.11261833122356449,0.0,67.4,False
Q96PB1,-0.08217926881996977,-0.04097162519313151,-0.11375556580045303,0.0,74.0,False
B5MCC4,-0.07897849518325688,-0.047662559671366345,-0.16561433752990282,0.0,68.0,False
A0A6Q8PGF4,0.0759820608132398,0.048409565993646674,0.0,0.12404651840858914,86.2,False
Q13635,-0.07474927646901207,-0.039196082956887486,-0.14335132950088364,0.0,64.8,False
A0A0K0K1A5,0.0739413576596277,0.052712827496798266,0.0,0.17967940903876267,64.8,False
Q9NX38,-0.07384047374519495,-0.03760822457607719,-0.10421442494764399,0.0,74.6,False
A0A075B6Z2,0.07307967327644067,0.037708904020640296,0.0,0.09421049021390769,77.2,False
G3V337,0.07192526764603706,0.0465655838170818,0.0,0.1695393709863454,63.6,False
Q92966,-0.07069784080356448,-0.034573901948074554,-0.1049272862543876,0.0,71.0,False
A4FU69,0.06826876987460016,0.04734476806061506,0.0,0.15295595506331253,57.599999999999994,False
P68871,0.06749536159177286,0.05111365295621538,0.0,0.15329935776597978,75.0,False
A0A075B6R9,-0.06727469446432557,-0.03634915444708206,-0.134022587014192,0.0,59.8,False
A0A7I2V584,0.06662171803667184,0.03164203666156846,0.0,0.1409043248861743,55.800000000000004,False
E7EVG2,-0.06648346271454504,-0.029687345816527447,-0.10995043900403582,0.0,55.2,False
A0A804HIA4,-0.0642266088534311,-0.03653909545762866,-0.12873763371496252,0.0,62.6,False
P52743,-0.06138092365536812,-0.029666523748911947,-0.10275410981911302,0.0,62.2,False
A0A087X0R0,-0.06035250133715228,-0.035009926631850874,-0.0872806644360028,0.0,79.80000000000001,False
Q14141,-0.057665229089124886,-0.02123261696306679,-0.08875358984249312,0.0,49.8,False
A0A087WWY0,-0.056848781162508286,-0.039293180687015455,-0.1534490976775901,0.0,61.4,False
P02100,0.05430845428528314,0.0444109836179329,0.0,0.1346544616146247,70.8,False
A0A1W2PQA1,0.05381483810072766,0.0322276142174213,0.0,0.09628144185666021,67.0,False
Q8TF46,-0.05357830296761937,-0.01771250090687735,-0.09592286265951616,0.0,46.800000000000004,False
I3L1Q5,0.05127468119480975,0.029681725757198567,0.0,0.10551962783679092,68.0,False
P0CG39,0.05095637635521909,0.03551532627305722,0.0,0.13703790100333954,57.99999999999999,False
J3QLL3,-0.04987535106250161,-0.030242153341032876,-0.08861900965667649,0.0,72.0,False
P02763,0.04950719431247142,0.03474510786764136,0.0,0.11733753083041845,62.6,False
Q9UNY4,0.04878427490997067,0.03283213940047801,0.0,0.11007238036199267,70.6,False
P0C671,-0.04717611555856968,-0.03430956337685283,-0.12987178851379066,0.0,63.4,False
O75037,-0.046090348058381185,-0.0406150700217286,-0.13364390269950188,0.0,63.800000000000004,False
H0YBY1,-0.045874433922346726,-0.018831601067910025,-0.07329971967331612,0.0,50.6,False
P19652,0.04344692594428707,0.02825769067887528,0.0,0.11362702537596438,60.199999999999996,False
I3L4V5,0.04303948545497027,0.028276258370194523,0.0,0.09741232130495522,62.2,False
