Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q8NAV2,-0.20943471424620444,-0.1106565399326109,-0.2576797516022014,0.0,88.6,False
O43543,-0.16734408004972537,-0.09413422978109917,-0.17374832537175633,0.0,94.19999999999999,False
A0A7P0NMY4,-0.16066288590319613,-0.08004144171682033,-0.17633653643571331,0.0,84.6,False
J3KT65,-0.14974817506139132,-0.07957830442554688,-0.2050388981979285,0.0,84.8,False
A0A804HIA4,0.14039335587263627,0.07857545757267086,0.0,0.2072468402470162,86.2,False
A0A0A0MS45,0.13748568956487078,0.07018525196430005,0.0,0.17121773286905112,81.2,False
A9Z1Z3,0.1354513371363329,0.07167866387030358,0.0,0.19600837712739186,73.4,False
P12814,-0.13314164789475547,-0.07692736818553292,-0.23470412719493605,0.0,68.60000000000001,False
A0A0J9YWE8,-0.12863006287002843,-0.06255932541950825,-0.1592315716575161,0.0,74.4,False
Q14696,0.12273423252862331,0.05257793786603643,0.0,0.14418850715177767,80.60000000000001,False
A0A494C0M2,-0.11890821981826873,-0.06514688801613776,-0.18392221948078172,0.0,74.8,False
A4FU69,-0.11108108710534141,-0.0605055197840065,-0.2127134545381515,0.0,68.2,False
Q9Y235,-0.10953816572964015,-0.05569516320598592,-0.18008650801794213,0.0,73.0,False
Q15283,-0.1075710069746507,-0.061686018310084405,-0.18127612170483215,0.0,74.8,False
Q5VY30,0.10204789452781664,0.053505555064476885,0.0,0.13712814179660024,69.39999999999999,False
A0A3B3IUA6,0.09815736221487567,0.03750727949986454,0.0,0.12107881786201208,69.6,False
Q9UPU9,0.09658266094916088,0.050692824019253305,0.0,0.12889992127518196,84.8,False
C9IZ84,0.09287506084019347,0.046998079305573794,0.0,0.12136789377229099,70.8,False
Q8WWZ7,0.09149113690773478,0.04397447363951426,0.0,0.11978956984318519,72.8,False
Q9H4B7,-0.09021583393023355,-0.04730345990231276,-0.15002007910417803,0.0,58.199999999999996,False
P0CG39,-0.0889215595027911,-0.042795443125137445,-0.14598785130926858,0.0,65.60000000000001,False
Q66GS9,-0.08837639302827388,-0.043204260928057805,-0.11821346446033319,0.0,62.2,False
A0A7P0T9E5,0.08602597455159912,0.04022413511259697,0.0,0.12783019217177655,69.6,False
A0A3B3ITF7,0.08595759773972388,0.040228621680334226,0.0,0.12052874983548982,73.6,False
A0A0J9YY99,-0.08431260581319915,-0.04496275186441554,-0.15470822367788165,0.0,67.0,False
A0A0G2JMB2,-0.083964013075178,-0.038136491165016266,-0.13853067683417908,0.0,61.0,False
D6RB49,-0.08004979727277302,-0.0432946652643708,-0.15036762550275126,0.0,49.6,False
Q5TFM2,-0.0786279305279048,-0.06556461638534543,-0.21060787329334724,0.0,64.0,False
D6RGC2,0.07746610788430586,0.04070919430104289,0.0,0.11142622858243252,65.4,False
B7Z6Z4,-0.07542713348294341,-0.036024046389927705,-0.1167297774338765,0.0,59.199999999999996,False
A0A087WWY0,0.07163064864308973,0.03819337425099509,0.0,0.15344591872332697,59.0,False
P02649,0.07127948067659869,0.03510938802171648,0.0,0.13628771689861585,60.0,False
H0YJ02,0.07115437276496521,0.031224347822076996,0.0,0.07863377627148996,75.8,False
F5H1U9,0.0706559548734253,0.03390172792524897,0.0,0.10326324581956968,69.6,False
Q96PB1,0.0704647938201108,0.02759914596766038,0.0,0.09328407352125156,66.0,False
P68871,0.06472359312172106,0.03675250825400757,0.0,0.12429609966486843,65.60000000000001,False
A0A8I5KWT8,-0.06240879985950597,-0.030743639269173787,-0.12215088060808608,0.0,51.0,False
F8VXJ5,-0.061520764042472864,-0.036866414602338415,-0.13037084121367867,0.0,59.4,False
C9IZD3,-0.061085528012990636,-0.03637399161154455,-0.14135945768641223,0.0,60.0,False
J3KSN3,0.059908790915359715,0.02942007974114099,0.0,0.09948479249623886,63.2,False
Q9UKJ3,-0.05782036046036785,-0.02714238452496821,-0.10901480715557478,0.0,51.800000000000004,False
Q86XP1,0.05661696599175679,0.027294569883030893,0.0,0.09177542998750825,67.0,False
A0A1W2PPL5,-0.056067761205540974,-0.0438783230527238,-0.181666138743654,0.0,58.8,False
A0A2R8Y7C0,0.0557548724086708,0.033191308335396255,0.0,0.11792608133807084,62.0,False
P04003,0.05529553768471907,0.019882605612276057,0.0,0.08213138729026398,52.6,False
Q02641,-0.05482221987778178,-0.026919213706138288,-0.1157720146694041,0.0,53.400000000000006,False
Q86UP2,0.05377117930473878,0.01976862909295478,0.0,0.091701600495974,49.6,False
H3BUW0,-0.053442534634234824,-0.03237905445539473,-0.14382739170367173,0.0,56.00000000000001,False
J3QLL3,0.05307182395207619,0.023275710000009598,0.0,0.06601019487245134,70.0,False
A0A6I8PRJ0,0.05050736180483971,0.025910285012801123,0.0,0.08497377466892474,66.8,False
Q16610,0.047564085620743754,0.035024085518611976,0.0,0.15196660101904935,52.6,False
A0A804HIC1,0.04410661173368276,0.02641445583476858,0.0,0.09634282786030614,53.2,False
K7EQJ7,0.04321547795970705,0.02804143956739335,0.0,0.11081301085228774,60.6,False
A0A0K0K1A5,-0.043181849759007906,-0.020914130019322387,-0.09800999682133194,0.0,46.400000000000006,False
A0A8I5KVU2,-0.04244945603301441,-0.014717719732027736,-0.07602341140387871,0.0,45.6,False
A0A1B0GUQ4,0.041303456434332655,0.02469195615063153,0.0,0.1300438109570847,45.800000000000004,False
A0A075B7B5,0.041146141550635125,0.031592006201284925,0.0,0.1339487525725512,47.199999999999996,False
C9IZ32,-0.04088725708533881,-0.02932326980804718,-0.14972493145635712,0.0,48.199999999999996,False
Q7Z304,0.03949755493938948,0.017674770729683223,0.0,0.0783227251078768,47.199999999999996,False
A0A669KBJ6,0.03945853817852269,0.016203157921824692,0.0,0.05429091088385131,61.0,False
Q01433,-0.03837234542702967,-0.035193717994440855,-0.14867535624156966,0.0,55.60000000000001,False
F8W1D1,-0.037954317376117125,-0.021450975821531663,-0.1074753832416808,0.0,42.199999999999996,False
Q96M69,0.036128994183300185,0.015923832009785713,0.0,0.05649110561817077,63.6,False
H7BZZ5,-0.035699165332505126,-0.01822228261738439,-0.09093536643456733,0.0,46.400000000000006,False
Q9Y5G2,0.03553086555083179,0.02052221799131498,0.0,0.08633020861386213,56.99999999999999,False
A0A087WXW6,-0.03476905373805293,-0.01928808745341628,-0.09087122188052946,0.0,46.800000000000004,False
A0A7I2V584,-0.03290589245229739,-0.026179948660277126,-0.1363327799221872,0.0,44.6,False
A0A804HIQ0,0.029162741128345927,0.015778198538004905,0.0,0.05549404156626986,58.199999999999996,False
M0QY89,0.0287978708702113,0.016968467675120714,0.0,0.09030197834036473,43.6,False
Q5VX67,0.026766903887632164,0.019490363803332182,0.0,0.09044417412804556,49.0,False
Q8TDI0,0.02560517337302176,0.014108832288998539,0.0,0.062234548637569914,44.0,False
E9PLN1,0.025467752785142704,0.011298875910049909,0.0,0.05421043046190706,48.6,False
J3QKX8,-0.023730640057712193,-0.02518459184529867,-0.15089018700051995,0.0,39.6,False
A0A4W9A917,-0.023274415867950676,-0.01981630511634336,-0.09451020875286865,0.0,49.6,False
P01780,-0.022837548176458083,-0.016808431050706833,-0.08232388571973859,0.0,44.0,False
P62736,0.02250315411156063,0.01664127936180584,0.0,0.09338642724913973,40.2,False
K7ERJ7,0.022302837427881996,0.016183116034005136,0.0,0.06958904970388358,46.800000000000004,False
P06312,0.022253651565605447,0.009958733250805507,0.0,0.07433027107807806,31.4,False
A0A0C4DGM6,0.02131701371595388,0.014712074193770968,0.0,0.07685003144230573,44.800000000000004,False
Q9NQX4,0.020218680381040223,0.021428708925059187,0.0,0.12397555509936815,39.0,False
Q8TC20,0.019819390753816307,0.013191935064288823,0.0,0.06470316049374848,46.0,False
E7ESG2,-0.01915354001435334,-0.013520344349212014,-0.08864658575114187,0.0,33.800000000000004,False
Q8N814,-0.018258323202563837,-0.013027154115925187,-0.07914379315038902,0.0,36.199999999999996,False
Q92966,0.017981121535245503,0.011289443163787381,0.0,0.07138666566894289,33.800000000000004,False
E7ER26,0.01729059615652167,0.009612635422983226,0.0,0.04457319344287777,48.6,False
A0A0C4DGB2,0.01698434185264416,0.018845296104294793,0.0,0.11686651390593623,39.2,False
A0A087WZQ2,0.01684402160834732,0.012435521289968025,0.0,0.0704409541797212,41.8,False
Q99571,0.0161227731051416,0.010467732810970682,0.0,0.07226880537659948,34.0,False
A0A7I2V381,0.015609277179536224,0.008610521549150367,0.0,0.03584025459780213,51.2,False
A0A087WVW6,0.015438866216356602,0.01988724809002157,0.0,0.12682824855213215,39.2,False
P02100,0.01461403040289691,0.012296134992012079,0.0,0.07057607747340645,37.0,False
F8WDQ8,0.01459603642551981,0.008252443375035215,0.0,0.04996590635212819,38.2,False
E9PM29,-0.014242780619573289,-0.02093793772457621,-0.11179023579894812,0.004744169613011407,45.4,False
A0A075B6R9,0.013252692568055464,0.014927088129925796,0.0,0.08275389234599563,38.0,False
Q641Q3,0.012173606647906282,0.01262298484611676,0.0,0.07848195685707962,37.6,False
A0A0C3SFZ9,0.011653669050647774,0.020290277648826495,0.0,0.11053827274688256,41.199999999999996,False
P15408,0.011599157998115808,0.01310869117274308,0.0,0.08185334323728687,35.4,False
G3V2A4,0.011512551315418638,0.008535834000279961,0.0,0.05614564015111132,34.0,False
M0QYM4,0.011269299208790787,0.009577075591091224,0.0,0.06182856986276158,37.2,False
G3V563,0.011025702833470218,0.013896200030864007,0.0,0.07195856395382139,43.2,False
A0A494C045,-0.010677676463451352,-0.010491757201095896,-0.07470437751513202,0.0,31.0,False
Q63HQ2,0.010454421536111912,0.005103380151704811,0.0,0.04319506282410632,26.0,False
A0A0A0MRQ0,0.00990500401905479,0.016960423783502047,0.0,0.13339186331542885,33.2,False
J3KPY5,0.00849604659104159,0.012613249459540466,0.0,0.08348023050104436,32.6,False
G3V337,-0.007362517346816197,-0.019740612840979586,-0.1273890208971433,0.0,39.6,False
A0A0C4DG76,0.007242172845326153,0.006820113331081378,0.0,0.04705880482731642,34.0,False
Q8TBA6,0.007078272867747558,0.005489426835059347,0.0,0.03943107333687818,33.2,False
Q13635,0.006874624593048155,0.015324117151044488,0.0,0.0878319323228107,38.2,False
B7WPL9,0.006601507853542921,0.010496936610655675,0.0,0.0627036267307552,40.0,False
C9JV37,0.0064187685663240155,0.006428514922081344,0.0,0.04765525902288795,26.0,False
Q9UQ74,0.0059256785970529,0.01140879779447993,0.0,0.0609880481812608,41.8,False
O60518,-0.005532380487732532,-0.019249197439167347,-0.11086930689730476,0.0,41.6,False
J3KRK7,-0.00523889002662243,-0.011297016919283986,-0.08361487765692233,0.0,31.0,False
A0A075B7F7,-0.004787455981858413,-0.014483854708049646,-0.09161743592521322,0.0,40.400000000000006,False
H9N1E7,0.004498944104160106,0.008904818596480775,0.0,0.06928763611612013,29.799999999999997,False
A0A8I5KW61,-0.00429743466458609,-0.013807431429147445,-0.0787824325295786,0.0,37.4,False
X6R8W7,0.004021244648399632,0.009126393924642134,0.0,0.05783168007663664,35.4,False
Q3SY46,0.00397842651071346,0.00730144108725893,0.0,0.041338537932945375,37.8,False
Q9H765,-0.00390088309303903,-0.014583218066562523,-0.10490555417345451,0.0,30.8,False
D6RA27,-0.0038000069377135,-0.008299883237484623,-0.06947022244427235,0.0,26.0,False
Q03591,0.0032028260407484127,0.01894231313915372,0.0,0.11961494498994729,38.6,False
Q562R1,0.002450454029222078,0.009669894761208001,0.0,0.05388443314387451,40.0,False
J3KMZ7,0.001577950800377617,0.010477759756677143,0.0,0.058770792834665686,37.6,False
Q5VYJ5,-0.0015502610737983056,-0.007885926247214918,-0.058582431924132275,0.0,28.999999999999996,False
B1AM27,0.0012976122899995002,0.0024705230927676933,0.0,0.024110522071700384,20.0,False
A0A2R8Y5S9,-0.00038238856959237094,-0.009741799877615007,-0.07386319468173257,0.0,28.999999999999996,False
