Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
C9JME2,-0.044695846667858696,-0.022238870862434347,-0.04176890020602414,0.0,91.8,False
F8W7M8,-0.04290909540442345,-0.022027233254182637,-0.04697583799232436,0.0,89.2,False
Q6NX45,-0.03702882129123962,-0.018491741847604312,-0.05850371177642563,0.0,71.6,False
I3L1F1,0.0363658773906218,0.016744402495971093,0.0,0.05795271056368652,68.60000000000001,False
Q2TAL5,0.03534709784187565,0.019624722499937772,0.0,0.06887701437601033,66.2,False
O43707,-0.035112773910867645,-0.017054060111102054,-0.04801057015053003,0.0,75.8,False
K7EJD3,-0.03492263511209413,-0.01514532032238626,-0.039523663613727195,0.0,83.0,False
O94874,0.03469916011844887,0.01615340305118033,0.0,0.0410113480729834,77.60000000000001,False
O60312,-0.03452922811197832,-0.014490986056096531,-0.04482509831859232,0.0,74.6,False
A0A5F9ZGN6,-0.03374410345402317,-0.015536976255773242,-0.044554109536837916,0.0,75.4,False
G3V164,-0.029325811589365043,-0.012460684175251698,-0.044144031027825686,0.0,66.0,False
A0A087WZ26,-0.02746721129785582,-0.010692160307062881,-0.034640520969765186,0.0,69.39999999999999,False
P35626,-0.02638023262118461,-0.010049390463450882,-0.03551911764554768,0.0,61.6,False
H0Y7F7,-0.025707775848592067,-0.012698400723215033,-0.048202079589642434,0.0,59.199999999999996,False
A0A087X2I1,-0.025686742857829358,-0.012854271051258814,-0.04838080377218121,0.0,64.2,False
M0QX43,-0.025570016020670012,-0.013172641081156506,-0.047627093659757015,0.0,64.2,False
A0A0D9SGE8,-0.025423175408866367,-0.012018701882307201,-0.049244901103026144,0.0,58.599999999999994,False
Q8IWZ6,-0.0243718615035905,-0.012169389325304411,-0.04460222325535563,0.0,62.0,False
P37088,-0.02327676192342495,-0.00995136044499246,-0.035617752252029164,0.0,60.8,False
A0A7P0T8F3,-0.023039170552439345,-0.010439852747980278,-0.03606195410160786,0.0,61.199999999999996,False
A0A2R8Y3M4,-0.02195005183846677,-0.011137399003292074,-0.04293015177446896,0.0,54.6,False
Q8TCP9,0.021784458251971287,0.00953408705883838,0.0,0.040386255300111785,53.400000000000006,False
Q9HCM2,-0.021570106877518796,-0.008321076632559493,-0.03566521870699541,0.0,55.60000000000001,False
Q9NQZ2,-0.02123911148280415,-0.010271513024562355,-0.042938849424999696,0.0,50.6,False
A2A312,0.020894554436774595,0.0106588168710818,0.0,0.04294322712223636,53.400000000000006,False
A0A590UKC0,-0.01997425690678084,-0.009392256644153763,-0.04396318978143709,0.0,52.6,False
Q04844,-0.019006167561898518,-0.008523822262903803,-0.034548957902952024,0.0,57.8,False
P49736,-0.018725991532716327,-0.011198850829866167,-0.04894599377709015,0.0,49.8,False
A0A2U3TZM0,-0.01806155350365259,-0.007497119471581593,-0.03209571934708326,0.0,51.2,False
F5H2X1,-0.017822968174681465,-0.008979345191559011,-0.042053529358625164,0.0,52.2,False
A0A0C4DH42,-0.017513650181637568,-0.009310270719293435,-0.04236888601114392,0.0,51.800000000000004,False
J9JIE4,0.01743773769454663,0.007870007378571981,0.0,0.038444894558938916,45.0,False
O14977,-0.016847346706346356,-0.006854065930110856,-0.036152592307438176,0.0,47.8,False
H0Y2P7,-0.016569676126601797,-0.008363672361700682,-0.03752466553455837,0.0,50.0,False
A0A140T963,-0.016078002292108595,-0.006453920437154852,-0.027530505957148538,0.0,48.6,False
A0A0J9YY99,-0.01593592306847467,-0.008843581842274724,-0.04214828323577239,0.0,50.4,False
H0YMW5,-0.015459403749997469,-0.007257853307661575,-0.03643180984302869,0.0,49.4,False
Q0VD83,-0.015446580442582736,-0.007495175415317077,-0.032193749976390684,0.0,51.0,False
Q9P2K3,-0.015342325738967015,-0.007534990509570647,-0.036601790694564706,0.0,45.800000000000004,False
Q96EM0,-0.014900682801796745,-0.006899364427944437,-0.02755084272080351,0.0,49.2,False
P30622,-0.01293329168528125,-0.008207692174429406,-0.04249774651943238,0.0,45.800000000000004,False
Q14289,-0.012909516146129313,-0.006264729289126638,-0.03466942370112464,0.0,43.2,False
E9PGN7,-0.012832429345141942,-0.008701581492283627,-0.042902832899476634,0.0,50.2,False
Q9Y234,0.01278372279219995,0.007899986009417558,0.0,0.050258380516875686,39.2,False
Q49AM1,-0.011677057645425646,-0.006510957809366521,-0.03561488175056145,0.0,41.8,False
Q5JXR5,0.011495499898455976,0.005534950232543402,0.0,0.029234372898384098,41.0,False
Q01826,-0.011417796360973703,-0.00535671254489001,-0.02464235906046161,0.0,47.199999999999996,False
A0A0C4DGA7,-0.011291518112730013,-0.006048317182986478,-0.03215951576016295,0.0,41.199999999999996,False
A0A2R8Y4T1,-0.01127058183327497,-0.00933521082337566,-0.04979782859502159,0.0,43.0,False
K7ERJ7,-0.011088034984889385,-0.006977547991044951,-0.032228952838640496,0.0,48.6,False
G3V4J5,-0.008856528527023089,-0.00590252614344853,-0.03391432443439024,0.0,38.2,False
P07900,-0.008370064662742984,-0.008198285688058441,-0.04353510969193068,0.0,42.199999999999996,False
Q8WW59,0.008138517707389485,0.004045412179320604,0.0,0.022006340363229772,35.0,False
Q8WVM7,-0.008060822539214387,-0.004803161022845656,-0.03513948626741284,0.0,35.6,False
X6R8W7,-0.007679939961090965,-0.006107256196708471,-0.03354784726583267,0.0,41.199999999999996,False
E9PQG0,0.0076164919216282255,0.004395937133191723,0.0,0.033670883394603016,32.6,False
Q16832,-0.0075999521572558985,-0.00713837523709407,-0.04084320626107695,0.0,38.800000000000004,False
Q9Y2I7,-0.007520514336692978,-0.0057096507851114135,-0.03740757751444555,0.0,36.0,False
E9PJX9,-0.0074401362372171756,-0.00872947817645254,-0.047209031282327805,0.0,45.0,False
A0A804HI65,-0.007147110147248495,-0.0049864988496964215,-0.033669276100954375,0.0,33.4,False
P04083,-0.006875652160834586,-0.0041768821500231595,-0.028209973208070872,0.0,30.8,False
P14920,-0.006072180009343169,-0.003992020039833938,-0.02791926348619111,0.0,32.6,False
E9PKF6,-0.005988225765491073,-0.0052770202437948605,-0.02947978448173711,0.0,36.6,False
P51170,-0.005938912856388948,-0.004949152561858917,-0.025729830401686967,0.0,39.800000000000004,False
Q96EY1,-0.005885238846742871,-0.004976993191347132,-0.030334208633212595,0.0,33.2,False
A0A1B0GV02,-0.005793229464117434,-0.004567716512089318,-0.028885139177974254,0.0,34.2,False
