Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A2AAZ0,-0.41971970746916515,-0.22304167918060835,-0.6473229584625263,0.0,80.4,False
B1AMS2,0.3312300361903866,0.16978099025821194,0.0,0.604573646860685,67.0,False
B3KR49,-0.3066459223702636,-0.1186759339094895,-0.3307994032665048,0.0,71.8,False
A0A1B0GTU1,-0.28902347161773867,-0.1273672760447165,-0.5748422171331804,0.0,49.8,False
E9PD99,-0.2754423491437003,-0.10716914597575268,-0.3983263106321508,0.0,59.199999999999996,False
A0A0G2JMB2,0.23445965337849117,0.11388215768908341,0.0,0.5466763206933538,49.6,False
Q9H422,-0.2181802271068796,-0.08040259987299798,-0.46564492136614355,0.0,41.199999999999996,False
B5MCC8,-0.20874332227790723,-0.10191186163839168,-0.4178152814442829,0.0,60.0,False
H0YEK5,0.19367599854999468,0.0769148647580963,0.0,0.4604213718340157,36.199999999999996,False
H9KVC5,0.18829745408805598,0.10328289179488222,0.0,0.5052442137644084,49.8,False
Q9NZT1,-0.18235431217507578,-0.0769103278778486,-0.39406928259883783,0.0,44.2,False
A0A0C4DH43,-0.16915038057094345,-0.09054740564035203,-0.4870966223393255,0.0,44.2,False
H0YJG4,-0.13641599527403447,-0.048998815565084494,-0.2533184066730805,0.0,39.4,False
C9JWG6,0.12744961400440724,0.05242413625558069,0.0,0.3276107221180486,35.0,False
H0YAC1,-0.12735300675790842,-0.04860953840561059,-0.3255426179615673,0.0,33.800000000000004,False
A0A087X1Z1,-0.11581837233959955,-0.04108791628046498,-0.2412779365735588,0.0,36.0,False
B7WPF5,-0.11159255053924572,-0.041862855956942474,-0.3224280684700624,0.0,27.0,False
E7EPK1,-0.10776569863905788,-0.04302878348517884,-0.29520336010543324,0.0,31.0,False
A0A8I5KT00,-0.10207050457630114,-0.05456780072061497,-0.32264353190611383,0.0,37.8,False
E7EQY3,0.082611366377809,0.05691500248633393,0.0,0.3963876997729241,33.6,False
A0A7I2V374,-0.08206267823888462,-0.03383732432496937,-0.2665534184218198,0.0,27.0,False
A0A4W8VX11,-0.0804600012379728,-0.026196934409951238,-0.16882565431108906,0.0,31.6,False
P63267,-0.07621274417933173,-0.045375932843243,-0.31824563571984826,0.0,32.2,False
Q15283,0.0625435902682511,0.02048897785942244,0.0,0.19338517424460638,19.0,False
F5H7J9,-0.04995232333641656,-0.03639872890773965,-0.24761115784942034,0.0,28.4,False
Q86UP2,-0.04711661082454637,-0.03652019087845576,-0.3295218347862445,0.0,23.400000000000002,False
P20851,-0.046441154693530336,-0.03779155394549663,-0.23572066119843618,0.0,31.6,False
G3V3A4,-0.04303958267865552,-0.03206992342980206,-0.27309227443670997,0.0,27.0,False
D3YTF2,0.03912023617407158,0.03344398412481015,0.0,0.27117699690719477,26.0,False
F5GWH4,-0.03690365240254506,-0.03015728073656703,-0.27028899848002186,0.0,21.8,False
G3V337,-0.034434137249183996,-0.02486973527887345,-0.2171308388631893,0.0,23.400000000000002,False
A0A5H1ZRQ3,0.03218072162785006,0.03430215459942601,0.0,0.2506026318201619,28.799999999999997,False
O14544,0.03212407497338416,0.03432601402587579,0.0,0.28568104361715085,22.0,False
A0A8I5KWK4,-0.021873172843412347,-0.007935165626937139,-0.10125772118332077,0.0,11.200000000000001,False
Q9UKC9,-0.02156358518053123,-0.0118799866216042,-0.13788884264210424,0.0,14.6,False
Q99571,0.014358376915212268,0.028464755990270787,0.0,0.2537082900548689,21.8,False
E9PG08,0.013329334100738215,0.026718603834418986,0.0,0.19493037065732752,27.6,False
C9JKF1,-0.009766430268345,-0.029497060587848577,-0.2555440433868883,0.0,22.2,False
H7C0L5,-0.009679748903706787,-0.010907719851038652,-0.13077931497201573,0.0,12.4,False
Q09019,-0.0081967302207233,-0.006920774029541077,-0.10802143877948556,0.0,10.0,False
A0A087WVC9,-0.008046666096962436,-0.004831336434473199,-0.06337973327691879,0.0,12.4,False
O00571,0.007752329492630538,0.02906430361839715,0.0,0.25152145615668386,23.799999999999997,False
Q9C0F0,0.00026940293933188926,0.0285210527279312,0.0,0.23819151374867423,26.6,False
