Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q14161,0.08129088955493527,0.048249531115986795,0.0,0.10798872670502592,91.2,False
Q9NY27,0.07417648337113693,0.04713857423304613,0.016518772530086642,0.07615564353106737,99.8,True
A0A7I2V5A1,0.06721581787846809,0.043218282909141925,0.0,0.08320529543424267,93.8,False
O94874,-0.06717858073142732,-0.043988896330707114,-0.06639650985305218,-0.018226762486605274,99.8,True
Q96F81,-0.0666414663626652,-0.04212394708690094,-0.09292075178179299,0.0,92.60000000000001,False
A0A0U1RQG6,0.0619885227388143,0.04038077836519015,0.0023024665624256473,0.07646044764113386,98.2,True
Q5TG30,-0.05780747248974887,-0.03200366514923043,-0.08167397235681745,0.0,84.39999999999999,False
O43707,0.05753189379804404,0.03703348250731084,0.00844786784188132,0.05884788589394446,99.6,True
E9PJX9,0.0568500369579463,0.03466677184080744,0.0,0.0910613952850427,81.39999999999999,False
D6RIS7,0.053618260419202084,0.031023394892253704,0.0,0.06712867409600641,90.8,False
O60312,0.05176818211050931,0.03170397269204307,0.0,0.059365819000804204,97.0,False
D6RIY9,0.05108821213884082,0.0305176438289763,0.0,0.06914321688622414,92.2,False
C9JME2,0.05085043036936167,0.031490910687812644,0.0,0.057248428322431474,97.2,False
Q9Y3P9,-0.05057960689964697,-0.026240045116144067,-0.08248193083158593,0.0,70.6,False
A0A669KBG8,-0.05038895032716204,-0.030003136105039713,-0.0632438718569235,0.0,92.2,False
M0R220,0.05016963697153155,0.029849785475873594,0.0,0.06416073047559165,84.6,False
Q96Q27,0.049791930527861475,0.029785263576215533,0.0,0.07747296628778165,65.2,False
M0QX43,0.04881306567892022,0.0291370703538086,0.0,0.07761001211865064,80.0,False
Q5VY30,0.04819297293839734,0.02954072118747565,0.0,0.05233494553254603,97.0,False
Q96BT7,0.04816155595969592,0.027517750314549227,0.0,0.0849192692115521,75.4,False
P01701,0.04751984938457683,0.02772557184907059,0.0,0.06417071661473256,90.4,False
C9JNU9,-0.047471334500341,-0.024797795865315265,-0.0800242739585041,0.0,73.4,False
P08185,0.04647897877837751,0.029755832600230337,0.0,0.08582623660285227,75.6,False
A0A2R8Y4T1,0.04490789882391401,0.024275300178448263,0.0,0.07240297475609495,80.0,False
D6RA66,0.044430320576284224,0.0287541179644776,0.0,0.08931849430089366,69.0,False
A0A7P0TBH1,0.04410152580277502,0.02577340953403637,0.0,0.05255355279910024,93.0,False
A0A0A0MQY2,-0.043038301869959265,-0.024392144109727384,-0.06991087117088808,0.0,80.60000000000001,False
J3KSZ0,0.042880455140925214,0.023325361055134892,0.0,0.06948937975195674,71.6,False
Q8TCP9,-0.04219325320651972,-0.023510350642132034,-0.06437568856211151,0.0,77.60000000000001,False
Q86T82,0.04210810453250089,0.02421122612054949,0.0,0.05955789994189631,82.8,False
P35626,0.0400272834706486,0.024076728831654983,0.0,0.04714836393521101,95.6,False
H0YDQ4,0.039393148573038356,0.025399214432220735,0.0,0.06753157542466649,77.0,False
A0A1W2PRC7,0.038651180147313995,0.023477701037585307,0.0,0.0511225828690786,91.2,False
A0A8I5KNL1,0.03803671796509458,0.022768605472235276,0.0,0.05314599925482669,89.8,False
E9PI60,-0.03783992026867022,-0.019421410385633966,-0.07891824838537677,0.0,61.199999999999996,False
A0A0C4DG63,0.03722193262472052,0.02275505461929272,0.0,0.06735225576528729,78.60000000000001,False
A0A075B6K0,0.03538597746866835,0.020510550301724738,0.0,0.05227156326102531,85.6,False
F8W7M8,0.03532362994919868,0.02183458008475715,0.0,0.04149937697916234,93.4,False
A0A0A0MRJ0,0.03488278360555003,0.021619441608139434,0.0,0.04869442501829629,90.2,False
Q9C0I3,-0.03488274714250964,-0.01830738528906871,-0.05038500610092166,0.0,71.2,False
A0A1W2PPM7,0.033767756536886816,0.021302299770686435,0.0,0.058683043216720826,79.60000000000001,False
Q9UMQ6,0.033174817109076694,0.02084991459577293,0.0,0.05760570670303859,75.6,False
Q5JXR5,-0.03315989897310385,-0.02044444894082704,-0.049764503049144794,0.0,85.6,False
Q16832,0.032996042696551764,0.018857671730675124,0.0,0.05362160858513447,81.2,False
Q15276,-0.032367836340803764,-0.020262311882350746,-0.07060096871382901,0.0,60.6,False
Q9UFN7,0.032179677329271884,0.024563914555175297,0.0,0.0789281164181133,61.6,False
A0A0G2JMB2,0.03186495565512061,0.01561377515255358,0.0,0.06423163576339044,49.2,False
Q12851,0.03164514258279053,0.01825102619852356,0.0,0.04634106123801237,78.0,False
Q6IPM2,-0.030925821690493786,-0.018551790458043265,-0.04687050879382843,0.0,84.2,False
Q99814,0.03059601828700108,0.018293875992405725,0.0,0.05443142744073078,74.6,False
Q9HCM2,0.030493958497201837,0.01778629348732892,0.0,0.06304245318205133,68.0,False
A0A087X0R0,0.03029162419424083,0.018198794846451122,0.0,0.06607668084774214,65.4,False
Q9NVP1,0.030150355714876065,0.016193557007550964,0.0,0.05156237718338811,71.0,False
Q96L93,-0.030126183413607895,-0.018643184619113566,-0.0625654704840879,0.0,63.4,False
A6NKT7,0.029965691552626055,0.017933620074080323,0.0,0.05077070605629784,78.0,False
E9PQG0,-0.029853037240193246,-0.016982401928687458,-0.04769255429674425,0.0,74.0,False
A0A075B7B8,0.029384719673811118,0.015092686007712453,0.0,0.05362053704141041,62.8,False
Q9NZT1,-0.028998496693818977,-0.014581995811185857,-0.04515189722192983,0.0,69.39999999999999,False
A0A0D9SGE8,0.028953637873882873,0.017189065122821826,0.0,0.06549374921450843,67.2,False
P54802,-0.02885544765459729,-0.018910554766852525,-0.056707953468068825,0.0,70.0,False
P08758,-0.02867036362006246,-0.016190944751090116,-0.04957342163230637,0.0,72.0,False
D6RIY3,-0.028541502299456987,-0.015707625452705782,-0.05186125784573211,0.0,67.4,False
A0A7I2V4H6,0.028284392712608956,0.01585106917349134,0.0,0.0464903706692865,79.80000000000001,False
A0A0A0MSL0,0.028214265483276508,0.018619645359909395,0.0,0.06072792844977444,69.39999999999999,False
A0A0U1RR22,0.0281580685011048,0.01393297632965625,0.0,0.056953570313919316,55.2,False
Q15293,0.028089963262074313,0.019124106757303375,0.0,0.06845347013225603,62.8,False
A0A6Q8PHG5,0.027945268250631095,0.016115446763333898,0.0,0.04742493573264816,70.6,False
K7ERJ7,0.027869076644620107,0.015333008866466135,0.0,0.04848037946877075,74.6,False
A0A087WZ85,0.02774312394006162,0.01567989137972371,0.0,0.04860422147748333,63.800000000000004,False
Q13029,0.026887478847495372,0.015715859480293668,0.0,0.0463190028956979,68.60000000000001,False
A0A087WZV0,-0.026555352909662343,-0.015451670151727766,-0.04780807188769427,0.0,66.8,False
Q8TDI0,-0.02607020592899373,-0.01394800663581618,-0.04093819624309753,0.0,73.4,False
F8WF52,0.0260375409314418,0.013847547438609262,0.0,0.04671951349535538,70.0,False
Q9Y2H9,-0.02568885985956557,-0.015490792468939642,-0.06487083043460153,0.0,57.99999999999999,False
A0A494C032,-0.025146705824391383,-0.012914677212510155,-0.056120702752098434,0.0,50.2,False
H9KV31,0.024022972965678804,0.015107532107066494,0.0,0.04955870614209268,68.60000000000001,False
D6RB97,0.023596321932152484,0.015053117154783961,0.0,0.06259831876672645,65.2,False
G5E9C5,0.023338813012018123,0.015258089262321792,0.0,0.04886241666876213,67.80000000000001,False
H0YC18,-0.02305364292789925,-0.014325588171654647,-0.05291165173333881,0.0,62.0,False
A0A7I2V561,0.023052506770677286,0.015014380986612588,0.0,0.06183703115743885,56.8,False
O94887,0.022945691460607383,0.013650354369771566,0.0,0.05224755257235706,61.4,False
Q8WVV9,-0.022798086552761058,-0.013853324487866654,-0.044472988629772725,0.0,67.80000000000001,False
O75051,0.022475410742828838,0.015172777677869514,0.0,0.04536828803430133,72.8,False
H0Y7Z1,0.022425577254396638,0.015359053649453242,0.0,0.0538553803111688,58.599999999999994,False
E9PGN7,0.021963271807030196,0.01339380450321255,0.0,0.04819891258671721,61.0,False
Q9H977,0.021832707699287246,0.011073032065998243,0.0,0.04447977360125356,50.8,False
P49736,0.021543015678358986,0.012605961125256531,0.0,0.047876754075989854,58.4,False
C9JXK0,0.021174207882098634,0.012118894806695781,0.0,0.06136006868385125,48.8,False
Q13045,0.020798991246246647,0.015033055433423117,0.0,0.07296265997691204,48.0,False
A0A1B0GTX1,0.020218490508948143,0.013106368345389014,0.0,0.04212483132335719,70.0,False
E9PMU3,-0.020212862551642972,-0.012588508502876081,-0.04772040858236164,0.0,56.00000000000001,False
A0A590UKC0,0.019644705968421904,0.010659734988602891,0.0,0.03856237854171835,60.0,False
E9PD35,0.019511591683312894,0.013546882425199127,0.0,0.04699073476407481,64.0,False
M0QZP2,-0.01872481608254693,-0.011356542361662215,-0.04852052575380343,0.0,56.39999999999999,False
P00748,0.018345785283048227,0.01575723507751823,0.0,0.070919484757349,55.00000000000001,False
C9JRG0,-0.018250760662960407,-0.008686294986888025,-0.05095573630919528,0.0,40.6,False
Q9NQZ2,0.017675278260796828,0.00941706613237713,0.0,0.03841238068599643,62.4,False
Q9H8N7,0.017616785388080747,0.013640878488201754,0.0,0.045095509215887945,66.8,False
S4R414,0.017600770981126827,0.010435957123415517,0.0,0.05072225984420146,51.2,False
O60884,-0.017440554458882665,-0.01305539754304434,-0.058063356302588076,0.0,54.0,False
Q53S48,0.017011616446558943,0.009708647686652987,0.0,0.03933759412866248,60.0,False
F5GYZ0,0.017010122137852322,0.010701001056221824,0.0,0.04825114354278339,46.6,False
P00450,0.016987935049210045,0.01026340766862036,0.0,0.03834232453982884,61.199999999999996,False
E9PFZ2,0.016987935049206274,0.010263407668618649,0.0,0.03834232453983032,61.199999999999996,False
Q8WXU2,0.016966516732152905,0.010397939523249276,0.0,0.03782450939219572,60.8,False
A0A0A0MSE1,0.01688521897345613,0.011934526353081147,0.0,0.052137005701059023,55.400000000000006,False
Q9H0X9,0.016576864926376805,0.009717376077285443,0.0,0.03988644867504801,59.8,False
A0A1W2PRD1,0.016445325261138,0.010078683244286454,0.0,0.0398917331895087,56.39999999999999,False
Q04771,-0.01607790624448342,-0.01398494187902356,-0.06171728985405281,0.0,50.4,False
O14544,0.015864990773672975,0.008805509150836298,0.0,0.03677158028525534,52.800000000000004,False
Q9P2K3,0.015733258949163255,0.00868751274975834,0.0,0.03141837764035295,62.2,False
A0A1B0GV02,0.01572728375119585,0.008971483759186943,0.0,0.032405867756525576,62.0,False
O43861,0.015621720230225443,0.009112066336566013,0.0,0.043025315722039145,51.6,False
Q96EH8,0.015589009597502588,0.01123759409692598,0.0,0.05670826854053174,51.0,False
H0Y7F7,0.015137332819621641,0.00886019652869538,0.0,0.036842383182361244,55.400000000000006,False
A0A0C4DH42,0.015012243575487286,0.00837924362503332,0.0,0.037506654621075344,54.2,False
H3BPW2,0.014566845769358568,0.008372881197235015,0.0,0.041958413391433434,46.2,False
P15144,0.014509458710156088,0.010344628823985765,0.0,0.0530357828725259,49.0,False
P04049,-0.013913518513066958,-0.008948506730873326,-0.04054303567835891,0.0,50.6,False
A0A0G2JPK4,-0.013669207402392781,-0.011201845881928588,-0.05089010061854041,0.0,49.0,False
P23142,-0.013586188636093436,-0.009405733670559108,-0.03988739268596776,0.0,48.6,False
A0A804HKJ6,0.013536131117148254,0.00928563433538419,0.0,0.05391917822081046,39.0,False
F5H7J9,0.01345597518752303,0.010103558532941002,0.0,0.05044226685875691,48.8,False
E7EQY3,0.01319129526105079,0.00993657772601338,0.0,0.05064461946607136,47.4,False
H0YJF5,0.012962306647956189,0.009690248223666374,0.0,0.039886451801900834,54.6,False
Q9UPU3,0.012842986345045378,0.00748825594610415,0.0,0.02786275741799547,60.6,False
A0A7P0Z482,0.012816301577225112,0.01158048901848588,0.0,0.0506193904870345,54.2,False
E9PF10,0.012760776131120135,0.008129066292149696,0.0,0.029159045504244793,57.599999999999994,False
D6RF20,0.012686264581491162,0.011067567522470574,0.0,0.05710098712312825,43.8,False
O43543,0.012459237814737959,0.01072804086228549,0.0,0.059886737446348134,40.8,False
