Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
E9PR21,-0.050161633094849105,-0.027376338066813694,-0.047887456562040194,0.0,96.6,False
P07306,-0.04619621051333988,-0.02477468088057397,-0.0486081409827516,0.0,90.8,False
K7ER74,0.044061494414843985,0.02295076861794029,0.0,0.05568177698103749,85.2,False
Q7Z6L1,-0.04379965391807751,-0.023273386952411015,-0.04566283535111478,0.0,92.4,False
O94874,0.03985919651345131,0.018421821563780402,0.0,0.04690627602514517,82.6,False
Q5T8L4,-0.03912533834710246,-0.0203394197445355,-0.05021364224776768,0.0,82.39999999999999,False
Q49AM1,-0.03706209931367842,-0.017672949670447396,-0.03338760112935854,0.0,93.2,False
Q14699,-0.032624382641811826,-0.016111237865681232,-0.052333592858527296,0.0,71.2,False
Q8TD43,-0.03177634691805149,-0.015494531017591382,-0.04042383106838422,0.0,77.4,False
Q9NWH9,-0.031180142716616135,-0.01370741101857661,-0.033414754332560026,0.0,84.2,False
C9JME2,-0.030963383864308174,-0.013800531645935069,-0.03900234226239966,0.0,75.6,False
A0A087WZ26,-0.030031514538871262,-0.012883141704364054,-0.037468001516519266,0.0,76.6,False
J3QLS3,-0.029603154929650332,-0.015361878725303285,-0.04601555713051128,0.0,73.4,False
A0A0G2JKR7,-0.02928537371247545,-0.01282698064594236,-0.034555757457783755,0.0,78.4,False
D6RIY3,0.027169707542118064,0.013386396667472681,0.0,0.04587739417225869,64.60000000000001,False
O43852,-0.0268261092348061,-0.012368052396910089,-0.042698768779075434,0.0,67.80000000000001,False
Q8IWZ6,-0.025035805835255106,-0.010937659263982082,-0.03334608987029938,0.0,70.6,False
Q9HCM2,-0.025030769076741774,-0.012146807101771186,-0.039440125657497396,0.0,63.4,False
A0A8I5KPH7,-0.02351610340343591,-0.0110028373045372,-0.03589123322362735,0.0,65.8,False
F5GWH4,-0.022405235525679662,-0.010735107321965105,-0.036494246690084976,0.0,63.0,False
E5RJW7,-0.022221030950184736,-0.008803910335745312,-0.032622533400404496,0.0,62.2,False
P35626,-0.020443144398336336,-0.008027551321259875,-0.02944959156290533,0.0,60.4,False
Q9UL03,-0.019776897522654383,-0.011375244548149468,-0.04642988785826567,0.0,55.800000000000004,False
