Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A0A087WWQ1,-0.10937051262233533,-0.06780991775934046,-0.12345631477098533,0.0,97.0,False
A2A312,-0.09710890621734321,-0.05738920353227194,-0.13735120359897668,0.0,88.8,False
F5H637,-0.09282622001506861,-0.05479447020717785,-0.11271485523752338,0.0,92.4,False
A0A0U1RQG6,0.09091146583330649,0.047082932324601305,0.0,0.09895731947991124,93.0,False
M0QZR4,0.0867103905344165,0.05375406593877723,0.00785764523988974,0.094872793108445,99.0,True
O43707,0.08454597464989315,0.05209306052327407,0.006479336562992673,0.08796514838380572,99.0,True
Q8WVM7,-0.07652014973481591,-0.04678153209293128,-0.10162252318070428,0.0,90.60000000000001,False
Q9H0X9,0.07564974444453737,0.03827434799917802,0.0,0.08834097399941673,86.2,False
Q86W56,0.07523737316848716,0.04537871657992178,0.0006461063456746344,0.07976001295713465,97.6,True
A0A804HKM8,0.07025694647741697,0.043831653921983155,0.0,0.08128603456650864,95.19999999999999,False
Q8TE85,0.06729597006710748,0.03699560704343699,0.0,0.08969849681560695,83.39999999999999,False
A0A0A6YYF8,-0.06655371714028338,-0.03867980371689606,-0.08012655681526601,0.0,91.2,False
Q01826,0.06593570654145563,0.03426099419261739,0.0,0.09178525994656872,83.8,False
Q5T8L4,-0.06295308507658554,-0.037404439813365484,-0.08089417855695388,0.0,88.2,False
Q58EX7,0.05792813110727018,0.037010804585235056,0.0,0.07437683614626735,95.6,False
Q8WXE0,-0.05777916617941921,-0.033237910051148074,-0.09634747655985249,0.0,71.39999999999999,False
Q5JXR5,-0.05707063502835592,-0.03247808312373588,-0.07657626376198243,0.0,86.8,False
A0A087WW87,-0.05690569974406627,-0.0333155037849074,-0.10177419466086655,0.0,74.4,False
F8WCZ6,-0.05528346802024904,-0.031719539747891906,-0.086625866709136,0.0,75.8,False
F5H2X1,0.0533169151253545,0.03368507943264191,0.0,0.06079927818312012,96.2,False
P07306,-0.05324655830099016,-0.03182718906226293,-0.07264554991008905,0.0,86.8,False
Q6NSJ2,0.051617161746803156,0.02623933457798059,0.0,0.07964984200534633,71.8,False
P01701,0.051243647282380164,0.03071438650166576,0.0,0.07918152869198883,82.19999999999999,False
Q96EH8,-0.05103193580103802,-0.026263299653451557,-0.08697334787745377,0.0,66.4,False
Q9Y4E8,-0.04967906500756042,-0.026177768730173016,-0.0699573209820603,0.0,83.6,False
Q53S48,0.047216203470362254,0.02633590259344492,0.0,0.06556718629720248,84.2,False
G3V4J5,-0.045651728542796595,-0.027662215276203585,-0.09065820324831379,0.0,67.80000000000001,False
I3L0K7,-0.0455393869934591,-0.027064374460812005,-0.07766353706409572,0.0,74.4,False
A0A8I5QJN0,-0.04539725423188709,-0.02913851368430803,-0.11072389896501163,0.0,59.4,False
A0A3B3ITF7,0.04534088368958865,0.022700803322276343,0.0,0.06404600943124139,76.4,False
Q9UFE4,-0.04445878780817063,-0.02976264505432658,-0.09648578411585515,0.0,66.4,False
G3V360,-0.04242312855825166,-0.024586489991495743,-0.08533981339562834,0.0,58.8,False
E5RJW7,-0.0397504675051422,-0.02524553812059955,-0.06980232547832403,0.0,82.0,False
B7WNR0,-0.03744258201627335,-0.022331847299995447,-0.04923638234983229,0.0,89.0,False
A0A087WSV6,0.037190136924665454,0.01780095473364673,0.0,0.05727461933284952,66.8,False
A0A669KBG8,-0.03694680085945967,-0.020314515504373486,-0.05625075283131556,0.0,82.39999999999999,False
Q12851,0.036838784983780744,0.015375225001053186,0.0,0.045644672319839805,66.60000000000001,False
P31930,0.03622677899681197,0.02116125295908769,0.0,0.05262075552354392,81.39999999999999,False
F5H0F9,0.035550576257366164,0.017775534171819735,0.0,0.06151343518259044,68.60000000000001,False
A0A0D9SGE8,0.035106488162788364,0.017447149963743174,0.0,0.06402223936416085,60.4,False
P15144,0.03364939531057003,0.01976220169790112,0.0,0.07041940770654875,70.6,False
B1ANR0,-0.03357553913184718,-0.023123627071566875,-0.0790913417689872,0.0,59.599999999999994,False
A0A087X212,0.033294006907837265,0.018177992045644197,0.0,0.05956684429304988,71.2,False
C9IYN7,-0.0332860487009669,-0.016501480611039315,-0.049561322977729944,0.0,72.8,False
O60306,0.032794315559766946,0.019841744532040996,0.0,0.06873848633379322,66.2,False
