Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
E7EW00,0.11218975831910147,0.038315640620816736,0.013830316981881198,0.061126877010176994,100.0,True
Q9NVR2,-0.09204641547320938,-0.03485731333807396,-0.06200668517613294,-0.0069809406432553124,99.8,True
Q9Y4D1,-0.089390556839312,-0.03285920721220352,-0.05056599379693943,-0.013543787593712503,100.0,True
G9CGD6,-0.08307486683042124,-0.03182217766415565,-0.05927952838473081,-0.002266688602945258,98.4,True
Q9NVI1,0.08116207186207354,0.035185052136021605,0.009669804030856419,0.062297872531987125,99.6,True
Q8TCC6,-0.07998841875362642,-0.02977734639360913,-0.05575511478710448,-0.004716947251760653,99.0,True
A0A8I5KX78,-0.07977748335546724,-0.033990966425199574,-0.07155171774933233,0.0,94.8,False
O00712,-0.07597661184034185,-0.03336337138688625,-0.06570373471529992,0.0,91.8,False
E7EWD5,-0.07358133773065031,-0.030947637661622705,-0.05873088868895408,-0.005785006672461331,99.0,True
A0A804HJY3,-0.0725924273143298,-0.03216795966914122,-0.057000923858341386,-0.0007419510301412273,98.0,True
O95295,0.07255914591908044,0.02961248906083613,0.011252137342937923,0.050068313809081555,100.0,True
P98169,0.07169986236120036,0.03291075646020486,0.00419941436545702,0.05848185239984429,98.6,True
A0A8I5KQ45,0.06923621164758562,0.02875820450285825,0.0,0.060783257833734,96.39999999999999,False
Q5JWV3,-0.06903579023636061,-0.0287263216208026,-0.05760119381469976,0.0,89.60000000000001,False
O15211,0.0685320221758361,0.030865707849416266,0.008269417458080039,0.05801609992789885,99.8,True
A0A1B0GVI3,-0.06725584198632086,-0.028000154335927303,-0.05718820638851286,0.0,96.8,False
A1IGU5,-0.06630103992783518,-0.031028927528306844,-0.05628559686236036,-0.0029526292390982486,97.8,True
M0R009,-0.06429250121755085,-0.028672436083426144,-0.05323908598205868,-0.00032195241801988295,98.0,True
