Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
P45985,0.12726546691064702,0.07638308529725599,0.0,0.13390356207982387,97.0,False
H7C1M2,-0.10154180712495371,-0.06397561747760912,-0.09299454903389769,-0.028861698837632854,100.0,True
D6RAS9,-0.09347449066772211,-0.05610190645421042,-0.10565144309715509,0.0,97.2,False
C9IZQ3,0.0893391205944755,0.053860600796418114,0.0,0.11160480613853095,94.8,False
B8ZZQ2,0.08344226667976833,0.0487681969746316,0.0,0.09867488678777322,92.80000000000001,False
Q3LI64,-0.08247574974877094,-0.048361232084293944,-0.09385463085915079,0.0,94.8,False
Q8TC20,0.08138364515565259,0.04521810076572741,0.0,0.0942845064134433,93.60000000000001,False
O60245,0.0800910832565317,0.044449345840148195,0.0,0.09944130905171823,81.8,False
H0Y4K8,0.07994577194038555,0.04541495377549499,0.0,0.10420848389857511,87.0,False
P04350,-0.07962956244300139,-0.04635738750461509,-0.09680064191640558,0.0,91.2,False
Q96A65,-0.07536592599020296,-0.04344818523851259,-0.08795242938133191,0.0,92.60000000000001,False
O75037,-0.06337460738239102,-0.03219630818819963,-0.08728000609081578,0.0,84.2,False
A0A0A0MR80,0.06316170380945368,0.03534864965288927,0.0,0.08382404799032142,87.6,False
F5H5B4,0.06256513625934432,0.036686975531420134,0.0,0.09272085912195578,86.6,False
A0A7P0TAA5,0.06253711662777511,0.034936518808030684,0.0,0.07373903627003157,90.8,False
Q13461,-0.056991709460999504,-0.02920394317216783,-0.07109462421733806,0.0,73.4,False
Q6XZF7,-0.054562382580211156,-0.028214562434791535,-0.0801724065005742,0.0,77.60000000000001,False
A0A8I5KX78,-0.05188039575106467,-0.029091965099740952,-0.09394603082783169,0.0,63.6,False
H0Y5H5,-0.05029548607482508,-0.026407863569733542,-0.08120592518365144,0.0,76.4,False
E7END6,-0.05019750496475014,-0.029683154966185756,-0.07988220156910852,0.0,74.8,False
B0QY69,-0.0488019942464816,-0.024902042463373488,-0.06954891473747606,0.0,83.39999999999999,False
P04433,-0.048082858394334266,-0.023003862036074376,-0.07030342359960534,0.0,74.2,False
A0A0U1RQM7,0.04721474523617507,0.028112897835930833,0.0,0.07249847194719164,80.60000000000001,False
H0YAS8,0.046904861185755764,0.027421104742311343,0.0,0.08496241371794548,76.8,False
A0A2U3TZM7,0.04640694934590972,0.025472836142824244,0.0,0.0720867928320838,71.0,False
A0A0C4DH67,-0.046174626558673215,-0.024797840835386376,-0.06572614255061728,0.0,70.39999999999999,False
O94973,-0.04560716032829012,-0.026180667690484133,-0.056241466515383386,0.0,92.2,False
A0A7P0TBB6,-0.041049939743962954,-0.02397373576400729,-0.043898248279940925,0.0,92.4,False
A0A2R8Y5Z7,0.04024935246668228,0.021640372250367135,0.0,0.05671205836012798,80.4,False
A0A087WYN1,-0.04015525140859381,-0.022391585847594146,-0.07404826970165801,0.0,69.19999999999999,False
G3V3A4,0.039326630505311655,0.020524362890333003,0.0,0.07298328586578949,55.60000000000001,False
Q8N1F7,-0.039300277851668994,-0.02125059417525769,-0.0435256973633951,0.0,92.4,False
Q9HCJ5,-0.039080398060592374,-0.018289459349720538,-0.07528542368325979,0.0,58.8,False
A0A494C1Q3,-0.03883960641455084,-0.02024005445749971,-0.04839007452529244,0.0,86.0,False
Q8IV48,-0.038814000619347144,-0.020541915525062876,-0.07502525918138193,0.0,66.0,False
Q86XN6,0.03786606414874076,0.0191948930535708,0.0,0.05384615221532849,69.0,False
E7EVM0,-0.03779597695287393,-0.019960663757391132,-0.05259111529557125,0.0,66.8,False
B8ZZ73,-0.037496150598621325,-0.019422731555683744,-0.06003769580692595,0.0,66.60000000000001,False
A6PVN6,0.03550828127381197,0.018848098699305777,0.0,0.05884223226895159,74.2,False
Q8N3Y7,0.035306847431209036,0.01772629206843154,0.0,0.06491983674305822,61.0,False
B0QZD0,-0.03466178516327133,-0.013908237436336087,-0.05875776247595632,0.0,55.2,False
P31260,-0.03456293653138636,-0.01821574928314348,-0.07233367381562004,0.0,55.2,False
A0A087WZ16,-0.03368900322066957,-0.01778430102176442,-0.0669307775957546,0.0,63.0,False
P01024,-0.03330616919797554,-0.017584424383171236,-0.0501075382764065,0.0,67.80000000000001,False
Q96AE7,0.032078421558810216,0.018807344610803967,0.0,0.06977411259333698,57.199999999999996,False
A0A0B4J1Y9,-0.0317348267835289,-0.017168989013718022,-0.07559322019137706,0.0,53.800000000000004,False
A0A087WYH3,0.03098166239208127,0.01754474711144803,0.0,0.06568681364255938,60.8,False
A0A804HJE2,-0.030693437864973656,-0.016675479341071116,-0.06648183121150693,0.0,55.00000000000001,False
J3KMZ8,-0.030570073085611094,-0.015793079339765415,-0.037156847725973684,0.0,87.4,False
A0A087WT21,-0.030513139807987904,-0.0147655434490667,-0.06939715673324238,0.0,53.2,False
J3KSN3,0.029996412643985317,0.017103806193584127,0.0,0.054966892838918424,70.19999999999999,False
Q96F81,0.02979481659416623,0.017133618545966924,0.0,0.06762005063710062,61.4,False
H3BS09,-0.029321254497827267,-0.01887563468928259,-0.0561795219710541,0.0,65.8,False
Q8IYB7,-0.02911915141933681,-0.01669134189931812,-0.048511351753762255,0.0,73.2,False
Q5VTM2,-0.02896107067661924,-0.014423506522734874,-0.05661466866546835,0.0,58.4,False
P14923,0.028920450975635746,0.015302559844980941,0.0,0.05073088784443756,69.8,False
A0A087WW81,-0.028591736013919834,-0.01783070407250777,-0.06595212375684328,0.0,62.6,False
O15360,-0.027615585034136983,-0.01508795926088266,-0.04719920467484639,0.0,69.39999999999999,False
Q9BRR8,-0.027334152347584104,-0.012846409782200835,-0.044101484787474284,0.0,63.6,False
E7EM64,-0.027274181017662134,-0.013824986080250748,-0.059541978645858404,0.0,55.800000000000004,False
A6NC48,0.026696779421755214,0.0182514054419442,0.0,0.05681039659772085,63.6,False
A0A669KBJ6,0.026252626313825217,0.014291105071665578,0.0,0.06053036257261529,57.99999999999999,False
Q6ICB4,0.025784564398220678,0.013224958768551006,0.0,0.045279208940917755,66.4,False
Q86W28,-0.02551976690273465,-0.013841841737639186,-0.03251225027081119,0.0,81.0,False
E9PKD3,0.025223010981359897,0.01405725087955569,0.0,0.051786527907369116,62.4,False
K7EJD1,0.02426983853464023,0.013337069075840447,0.0,0.04869262502678509,61.6,False
Q5HYC2,0.024023934734599055,0.013708482584697979,0.0,0.05756657222550341,57.199999999999996,False
Q8TCP9,-0.023880795113636083,-0.012532401105241167,-0.04933943032120654,0.0,59.599999999999994,False
Q6IC98,0.023399908479849976,0.011476238754753058,0.0,0.04457681291771098,53.400000000000006,False
Q9P2D3,-0.02277514508565184,-0.012013976839101494,-0.05682568812528086,0.0,49.6,False
Q86VF2,-0.02239868925476044,-0.011821219689939228,-0.05097198586193751,0.0,49.4,False
Q8TCA0,0.022318148646127682,0.013115787430586395,0.0,0.06211897047793717,52.0,False
O94887,-0.02208316460079843,-0.011068546703930853,-0.04033839974398183,0.0,63.2,False
F5H515,-0.021966587021519463,-0.012803150885199172,-0.03521930159344951,0.0,74.2,False
Q9Y2R4,0.021663714976022683,0.01233308526610859,0.0,0.04525103996345816,61.199999999999996,False
A0A7P0T897,-0.021346843348027777,-0.011821203506786242,-0.06635257921364647,0.0,45.2,False
B0QYL8,-0.02128492933774543,-0.011565012981376304,-0.07351304247607013,0.0,38.2,False
Q96NG3,-0.020569810535537098,-0.015125515693447894,-0.06089874632030132,0.0,55.800000000000004,False
A0A7I2V3N5,-0.02053639089609818,-0.010979837587040821,-0.035275438144858035,0.0,69.39999999999999,False
