Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q00005,-0.3126777199196232,-0.16111079531400763,-0.36446663026280607,0.0,82.6,False
F5H5B4,-0.27578242766059863,-0.12269538930412227,-0.26346209247072533,0.0,95.19999999999999,False
A0A0G2JMV4,-0.17780508965376926,-0.0725563729190807,-0.15799796706004007,0.0,91.4,False
G3V4X7,0.16023099015330136,0.068843025852433,0.0,0.15347734938799942,76.4,False
Q96F81,-0.15342594698170298,-0.07410980714163498,-0.1939517681397572,0.0,79.60000000000001,False
A0A087WTV1,-0.14474802284612678,-0.0757372875843681,-0.2519834335820138,0.0,65.0,False
A0A7I2V2L4,-0.1423729271932535,-0.06995957861185936,-0.1519937619006421,0.0,91.2,False
A0A087WXL6,-0.14169400397027304,-0.05723139166631085,-0.20280227284009372,0.0,60.0,False
Q9Y5G8,-0.12868735168866258,-0.05421064410845105,-0.15691067073027476,0.0,75.2,False
M0QXW4,0.12426110310850735,0.053743427617769825,0.0,0.18341859487410425,59.0,False
A0A087WT21,0.11905130354056735,0.04576910901545081,0.0,0.16381267066998345,67.0,False
A0A669KBG8,-0.11634007013850485,-0.06150861322998376,-0.15323373262616316,0.0,80.4,False
Q9BXJ9,-0.11309929681672061,-0.06338782176940126,-0.1758154993946108,0.0,73.8,False
P54284,-0.10855253076230346,-0.05470300837498763,-0.14003827305878264,0.0,81.39999999999999,False
Q8N163,0.10233622895508916,0.05061811742838599,0.0,0.15913574554148494,75.4,False
O60832,-0.0979869570520684,-0.04512160585023085,-0.20159585439466576,0.0,50.4,False
H3BN94,-0.09281102394646647,-0.05745409526766961,-0.18807357209818143,0.0,63.6,False
A0A5F9ZI21,-0.08694677060049538,-0.04607618305354854,-0.16989498162123387,0.0,66.4,False
A0A0C4DH32,-0.08656995688551974,-0.054058326818887344,-0.2162450308209536,0.0,62.6,False
H7C1M2,0.08570168145223471,0.03934115178449819,0.0,0.12099995993692578,74.6,False
E2QRF0,0.08307197744387652,0.03780493609318376,0.0,0.18077697205970641,52.2,False
O94973,0.07778153703185699,0.02722959717402519,0.0,0.10366191453256818,56.99999999999999,False
E9PG71,0.07748127761532679,0.03237405826128822,0.0,0.08278110580083019,70.0,False
D6R9U1,0.07526382410222902,0.038866124956999065,0.0,0.14069181355533086,59.599999999999994,False
O75534,0.07498249814936778,0.0305409473911353,0.0,0.11844357378412335,58.199999999999996,False
A0A7P0TA59,0.07396446368206427,0.02879007565997342,0.0,0.09616408879455483,64.4,False
I3L1D5,-0.07267761323853741,-0.03406435797132226,-0.12752781142048045,0.0,64.2,False
P04433,0.06596953016865016,0.0446731453257814,0.0,0.2042081494165557,55.800000000000004,False
G3V3A4,-0.06575743660672687,-0.0434998655184796,-0.17816130540157762,0.0,48.199999999999996,False
A0A087WW49,0.06325991775714844,0.04419174499022552,0.0,0.15728882477472333,51.0,False
A0A8I5KWS6,-0.06179363400015717,-0.0463782384396875,-0.19385208558598904,0.0,53.400000000000006,False
Q6ICB4,-0.06066018414146129,-0.027617443578650484,-0.11017227365545097,0.0,58.4,False
Q6Q4G3,-0.06063281392562939,-0.03757897833354696,-0.16170893564934705,0.0,52.6,False
C9JAQ1,-0.05998000430078635,-0.027799531414698674,-0.1011461420274651,0.0,54.6,False
Q38SD2,-0.05796431883101517,-0.02850242575830165,-0.15069044954554686,0.0,44.6,False
H0Y555,-0.05648094226869486,-0.048595040449105925,-0.13327586220912388,0.0,67.80000000000001,False
A0A8I5KXN1,-0.05639419491424793,-0.03218218199026238,-0.14433988532123707,0.0,50.0,False
A0A2R8Y7R2,0.05627211543267082,0.02614420788107449,0.0,0.16442628474930412,37.4,False
A0A494C0I2,0.05584497592778405,0.0419017669961411,0.0,0.20448038878737995,49.0,False
P04350,0.05525797951126977,0.030139494632124737,0.0,0.13634324219308158,47.0,False
A0A2U3TZK7,0.05504747579627793,0.026442061995120586,0.0,0.11219864279140976,53.800000000000004,False
Q9Y2F9,0.05306431802545905,0.025139716237987882,0.0,0.09722263309271995,60.4,False
A0A087X266,0.045232930706880226,0.030866558370997287,0.0,0.1188355056157026,62.0,False
O60245,-0.044160035671596584,-0.03450150407616753,-0.15897068221402272,0.0,48.6,False
