Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
B8ZZQ2,0.3322011222972712,0.1570272204799009,0.0,0.4056634574410236,81.2,False
Q92624,0.2879568560874206,0.13359276306435858,0.0,0.2907312700323328,90.60000000000001,False
I3L1D5,-0.24311105702261093,-0.1302851760203416,-0.3782150560080983,0.0,85.0,False
P0C869,0.22478943187109784,0.11368073890304464,0.0,0.27498727944716206,86.8,False
Q13618,0.21955510430842573,0.10558089443221468,0.0,0.3893111507573905,65.0,False
Q8N163,0.19358105727068578,0.10077544378382162,0.0,0.22949581426396842,86.2,False
P00748,0.18844691135745847,0.0801592918323116,0.0,0.23229717423583338,73.0,False
A0A0G2JMV4,-0.18119242102826583,-0.10167963073527757,-0.27706645106967015,0.0,82.39999999999999,False
A0A1B0GVI3,-0.17266968293592877,-0.08435459478274267,-0.24687933024365663,0.0,76.4,False
Q03468,0.1655420232942672,0.08930408935530526,0.0,0.2958462656294798,72.8,False
C9J685,0.15368201007210905,0.07969563481290093,0.0,0.19945243682563682,76.8,False
A0A8I5KX78,-0.1416307645510191,-0.0609077390821344,-0.2013543029775072,0.0,65.2,False
P54284,-0.13931403552671173,-0.07976673220572242,-0.21804092962804128,0.0,77.0,False
A0A7I2V2L4,-0.13481315753867884,-0.07676087965155237,-0.2246467232997463,0.0,76.0,False
H0Y626,0.12968574162227028,0.05762921140831114,0.0,0.20539986409252595,57.199999999999996,False
P43652,-0.11146648432851121,-0.04992835170824858,-0.14380355900546496,0.0,75.2,False
Q96AE7,0.09596208684842751,0.04965503676076638,0.0,0.1909944244021743,56.8,False
Q5JZH3,-0.09448823669328806,-0.04424747980556274,-0.18028554657135368,0.0,53.2,False
A0A669KBG8,-0.09253176216582251,-0.058970873699659795,-0.18899104374576767,0.0,67.60000000000001,False
H0Y9D3,0.08668590360509244,0.042460814678210716,0.0,0.2254005332577827,43.8,False
A0A494BZW2,0.08152939681257942,0.034103143358222,0.0,0.14265884855560132,52.400000000000006,False
E9PG71,0.07776999768267562,0.05070889347232469,0.0,0.17515951757702214,59.8,False
Q49AJ0,-0.07775648358910131,-0.043845358909489804,-0.20402271759662274,0.0,49.8,False
A0A087X0F5,-0.07753041917316375,-0.04268939536040279,-0.19741926527084794,0.0,50.4,False
A0A8I5KW61,-0.07488604285636134,-0.028897520653368033,-0.1542217348943616,0.0,44.800000000000004,False
Q8IV48,-0.07436128483811466,-0.04433922753581043,-0.20791644866408787,0.0,49.0,False
A0A7P0TA59,0.0708285894795171,0.033787177185987664,0.0,0.11403620740647845,58.4,False
J3KSJ1,-0.07019347366982022,-0.04602957174249083,-0.21799396258694542,0.0,49.8,False
O60890,-0.06792345367361151,-0.028295491010235933,-0.14248186947505329,0.0,41.0,False
Q9Y458,0.06750823540964303,0.042102304515793984,0.0,0.22575364083826296,45.800000000000004,False
D6RHJ6,0.05792748592640044,0.021567852980715098,0.0,0.13811914973166553,34.4,False
Q9HCJ5,-0.05770483574164602,-0.03741990001732043,-0.20829097523559792,0.0,40.400000000000006,False
Q6ZP82,0.05728098508808262,0.03105753220353801,0.0,0.11836006397104538,51.2,False
