Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
H7C1M2,-0.3118736803056939,-0.0810647580615675,-0.14811355664244227,-0.038786473323946566,100.0,True
P45985,0.29325051482158226,0.09911584265983446,0.010703877745408359,0.2128505783245007,99.4,True
D6RAS9,-0.1651486613179693,-0.07838109293822794,-0.1768931891541804,-0.016716186016274434,99.2,True
C9IZQ3,0.1645889804645306,0.07400120409783052,0.003501190755474573,0.15299349021618622,98.4,True
B8ZZQ2,0.1447051760279861,0.066809712134386,0.001608440622916442,0.13712233290860876,98.0,True
Q3LI64,-0.13683819484806853,-0.07018124395826368,-0.1578925305469499,-0.010579988217091402,99.2,True
Q96A65,-0.12259752200210063,-0.06002562350170563,-0.12240009184891464,-0.004514492169054766,97.8,True
P04350,-0.12120809064228372,-0.06556155155464358,-0.1289145787805828,0.0,95.6,False
A0A7P0TAA5,0.10965760065689595,0.04889809304295365,0.0,0.09441528365254995,97.0,False
O60245,0.10509501844201709,0.06405563575496712,0.0,0.12891472698836973,91.0,False
F5H5B4,0.0979057845709646,0.052108762419027704,0.0,0.11254132951535273,95.19999999999999,False
O94973,-0.09731182138301249,-0.03803963858781382,-0.0689735593062653,0.0,97.2,False
H0Y4K8,0.09493729253707071,0.06704167379444112,0.0,0.1453495476574486,93.8,False
Q8TC20,0.08450178787847011,0.06356935960718944,0.0,0.13387544867936238,97.2,False
A0A0A0MR80,0.08414725081091091,0.05046562014088472,0.0,0.1127527672196842,95.8,False
B0QY69,-0.08406646163993485,-0.03879729004302247,-0.08443074924592028,0.0,93.60000000000001,False
A0A2U3TZM7,0.07630540190837609,0.039767562480575766,0.0,0.08993608717718332,82.6,False
Q9P2D3,-0.0757478024238795,-0.02000612016230372,-0.06443101534253096,0.0,70.8,False
E7END6,-0.06876435996588946,-0.041708386040278315,-0.10159021240428939,0.0,84.8,False
Q96F81,0.05815926662438574,0.028613704336858548,0.0,0.08600706948704818,76.8,False
Q13461,-0.05712123550175228,-0.04490487044386382,-0.10851197710453966,0.0,85.0,False
O75037,-0.05563794756479722,-0.051200404556483066,-0.11685266291003818,0.0,93.60000000000001,False
A0A8I5KX78,-0.0542517428641304,-0.048504807859101357,-0.1266020105063284,0.0,71.2,False
A6PVN6,0.05367906073896307,0.03112195247774758,0.0,0.070682260900745,90.4,False
A0A0C4DH67,-0.05300102506606406,-0.03648815903944794,-0.09157707616749891,0.0,83.0,False
Q9HCJ5,-0.04868573874237157,-0.032614797677911464,-0.09747068833131609,0.0,77.8,False
B8ZZ73,-0.04719614933437924,-0.030985868539993407,-0.07638298597853337,0.0,76.2,False
H0Y5H5,-0.04678686226865295,-0.040138406135322074,-0.10295856989274298,0.0,86.2,False
Q6XZF7,-0.046354800395085896,-0.04897163954406646,-0.11402461397906036,0.0,91.2,False
A0A087WYN1,-0.045154244678590416,-0.03725082669680767,-0.11136601686231687,0.0,84.2,False
H0YAS8,0.042742801234516244,0.041519642275907445,0.0,0.1009837413438358,86.4,False
P01024,-0.04189849527341179,-0.02600623569713114,-0.06233583248383497,0.0,80.0,False
A0A494C1Q3,-0.041845736951020826,-0.03212212151345398,-0.06647171191624515,0.0,94.8,False
A0A0U1RQM7,0.04100373635077142,0.04510342301439214,0.0,0.09800687843149976,93.60000000000001,False
Q8N3Y7,0.0403209031164322,0.030544778202028028,0.0,0.08291966887714261,82.0,False
A0A7P0TBB6,-0.03981606949352316,-0.03470155049336389,-0.05667322579893289,-0.002088819332368544,97.6,True
A0A087WZ16,-0.03909492132777361,-0.030087883894226772,-0.08780977395856104,0.0,77.2,False
P04433,-0.03862704236604471,-0.03823959140204144,-0.10176268604057914,0.0,89.60000000000001,False
Q86XN6,0.03637768905257764,0.030456583412308183,0.0,0.06625308990731006,75.8,False
J3KTH2,0.03614641973222075,0.020568892365337533,0.0,0.06617330728944934,69.0,False
G3V3A4,0.03549595136850868,0.037503753278941517,0.0,0.11607754993315858,69.6,False
E9PKD3,0.03517078527978482,0.024506578092407375,0.0,0.06894392077679304,74.6,False
Q8N1F7,-0.03493774555552764,-0.03191271961568268,-0.05696833756947776,0.0,97.0,False
Q96AE7,0.03478409942461987,0.03374161897256302,0.0,0.09158806360930617,65.0,False
B0QYL8,-0.03402277238792487,-0.023495548162117394,-0.09634136321787644,0.0,59.4,False
A0A2R8Y5Z7,0.03397172271651744,0.033461184693871535,0.0,0.07172206056140208,92.4,False
P14923,0.033256547858497056,0.026164671095372974,0.0,0.06204203754339025,85.2,False
Q5HYC2,0.031942517342456456,0.021575658426966945,0.0,0.0691112300447308,70.8,False
C9JCA7,-0.0318482772852859,-0.008294852850812455,-0.04990715403407245,0.0,37.8,False
Q8IV48,-0.029921526335344235,-0.032931403180135536,-0.1002584337319415,0.0,82.8,False
P31260,-0.029333063306013794,-0.0331583401914005,-0.10738635372999532,0.0,72.6,False
E7EVM0,-0.02902906919686735,-0.02926239594584771,-0.0638466649576525,0.0,76.0,False
Q8IVF5,-0.028965070099971638,-0.017954421038514096,-0.06432871496324788,0.0,60.6,False
P33076,0.028237753928364473,0.02301057655093905,0.0,0.07282281930559845,70.8,False
Q9UNY4,0.028067782453817317,0.013062150818621386,0.0,0.06396038818637899,49.0,False
E7EWD5,-0.02802723667476928,-0.02527784252400339,-0.08050202730061157,0.0,73.4,False
A0A804HJE2,-0.027898815131988997,-0.03331374963380109,-0.11812495904346629,0.0,75.4,False
P19652,-0.02786286184412844,-0.019211013665314275,-0.05894473130815055,0.0,75.0,False
A0A087WYH3,0.0277979365175666,0.027821547906171733,0.0,0.09497117452579783,75.6,False
Q5VTM2,-0.02776978144793025,-0.025122343451516944,-0.06878667647327638,0.0,79.0,False
A0A669KBJ6,0.027648766912636524,0.027405905847137833,0.0,0.08665884756331686,80.4,False
J3KSN3,0.027601823434451563,0.026660171504189062,0.0,0.07274671824334483,82.39999999999999,False
E7EM64,-0.027293531584107012,-0.02873052777603177,-0.0854615338120942,0.0,83.39999999999999,False
A6NC48,0.026989504522043434,0.03838013895112743,0.0,0.08835964204827919,66.4,False
H3BS09,-0.026540110839887467,-0.03155370050042518,-0.07798760851127924,0.0,78.2,False
A0A0B4J1Y9,-0.026488378519987813,-0.03195358367918825,-0.10866478493074738,0.0,70.19999999999999,False
Q9NZM3,0.026232416893410028,0.0193779928506447,0.0,0.05916466276931286,73.2,False
Q9BRR8,-0.02605924342192025,-0.02594662862638222,-0.06700405668747343,0.0,81.2,False
H3BU64,0.025762992778397515,0.030027718244273246,0.0,0.07781939372067763,66.2,False
Q96NG3,-0.02563638761368505,-0.026282158506310722,-0.08096534071247546,0.0,75.6,False
A6NK53,-0.02533435426859545,-0.02126115937280722,-0.08509195391485154,0.0,55.800000000000004,False
J3KMZ8,-0.02520736178622814,-0.024682836843677173,-0.049418192080665176,0.0,95.0,False
C9JAQ1,0.025112507598510646,0.007561268763429134,0.0,0.04786266273546735,34.0,False
Q8IYB7,-0.025069186707815664,-0.025285155790911718,-0.061012388818279625,0.0,86.8,False
Q8TCP9,-0.02490737520288633,-0.022119609882383495,-0.06255715064068823,0.0,76.4,False
G3V3H8,0.023803009553234736,0.019261507113980315,0.0,0.0652282028918566,68.0,False
B0QZD0,-0.023604491787180222,-0.03290692363672195,-0.09852553116084294,0.0,79.0,False
A0A087WW81,-0.023257166781684137,-0.02986086607729353,-0.09361541457881441,0.0,76.2,False
A0A8I5KW82,-0.023117692131690112,-0.020053257795663845,-0.08046808032723866,0.0,57.599999999999994,False
O15360,-0.02285736715290893,-0.02315924433737894,-0.056566933712842715,0.0,86.4,False
A0A0D9SEM5,0.02263993593342588,0.01822917946033298,0.0,0.05716472740132932,67.0,False
H0YLA8,-0.022565813990503655,-0.021909194670607892,-0.06464916606113143,0.0,70.19999999999999,False
F5GYE8,0.022389732502507278,0.023146999467270248,0.0,0.08236456923297808,64.8,False
B1ALH6,0.022339010433243194,0.018617815045670796,0.0,0.0882765994372571,49.6,False
Q6IC98,0.02219461530692087,0.022279449388403764,0.0,0.06142345142197412,72.0,False
Q8TCA0,0.022153032342829355,0.023089927403945453,0.0,0.08217538934597135,70.8,False
K7EJD1,0.021597311688202732,0.021051711716614782,0.0,0.05564291873127612,78.4,False
A0A8I5KQ45,0.02149639045794427,0.014710479752350167,0.0,0.06907309350891415,47.8,False
Q9Y2R4,0.020918310229417453,0.02128642236282764,0.0,0.05896923771650453,75.4,False
F8WF52,0.020745946062485934,0.022599154214534935,0.0,0.06630920183802838,74.6,False
F5H855,0.020683755038494425,0.019769444432825762,0.0,0.06805834615669935,62.4,False
Q6ICB4,0.02066902339250793,0.02261561338055735,0.0,0.05257493269404831,85.2,False
Q86W28,-0.0204789319878534,-0.023216638637284553,-0.04428342224271372,0.0,91.60000000000001,False
A0A0B4J1Y2,0.019760066116215436,0.014486220876095366,0.0,0.05849119797039155,53.6,False
O94887,-0.01958513552995176,-0.01936221843780445,-0.05337572733157663,0.0,78.2,False
E7EVX8,-0.019570193515974076,-0.01810064216554184,-0.054710727297504334,0.0,76.2,False
C9JYR7,-0.019435557163605507,-0.019475611228944974,-0.0539325092226441,0.0,74.6,False
Q8TCC6,0.01935504703033726,0.012140250331142015,0.0,0.057156799840318434,52.400000000000006,False
M0R1E9,0.019163256228239427,0.017017312501152175,0.0,0.06076923089830697,61.199999999999996,False
A0A5F9ZGX9,0.019121127292789808,0.017093592040225453,0.0,0.05100321171528065,73.6,False
A0A5F9UK94,0.019002151195404725,0.013535562691514959,0.0,0.055623450731156314,58.599999999999994,False
O43747,-0.018958662902283947,-0.017631184720259534,-0.04442073565311461,0.0,80.80000000000001,False
A0A087WT21,-0.018925676029808068,-0.02519180980624912,-0.08730374583410512,0.0,73.2,False
A0A8I5KRH8,0.01887571870321336,0.017769067053431363,0.0,0.06976079096285456,47.599999999999994,False
A0A6Q8PG29,-0.01872664692913924,-0.01940519628222465,-0.05515712247245596,0.0,67.4,False
B7ZM87,-0.01871668347731525,-0.010659113133619818,-0.05892443412844084,0.0,43.2,False
C9J7L7,0.01868750244396698,0.014958208933320213,0.0,0.0559315008739355,60.4,False
A0A494C043,0.018645010273519804,0.02120893177001814,0.0,0.07137891409015883,61.8,False
Q3V6T2,0.018407188360253447,0.02284184835530771,0.0,0.0821183598897673,64.4,False
P51805,-0.01806590675240826,-0.022476861879356234,-0.07290896573746526,0.0,67.0,False
O14757,0.017798436599913932,0.015633412135230448,0.0,0.05818694516555219,67.4,False
E5RIM3,-0.017756619965652736,-0.016468319723267157,-0.062359722396198136,0.0,61.6,False
