Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
H7C1M2,0.10028007964590328,0.059267961494368665,0.0042848452398342425,0.10627205909848914,98.2,True
J3KPQ0,-0.08788001906163144,-0.054462095581592554,-0.09938374696282257,0.0,97.2,False
Q9NRF2,0.08670357307134145,0.04714978987305072,0.0,0.11289712042840758,86.6,False
P31260,0.07835084503127845,0.03529305217057449,0.0,0.1120350829406576,74.2,False
Q6ZUS5,-0.07711659233754853,-0.03972848720490527,-0.1007481771606762,0.0,81.6,False
Q6IC98,-0.07154376807339954,-0.04036593554409153,-0.10194268328262932,0.0,80.4,False
A0A0U1RR07,0.07082165534101882,0.03791873106318028,0.0,0.08186098401438702,81.2,False
Q8N3Y7,-0.06986471547772302,-0.03826214718668156,-0.09749786918919422,0.0,84.0,False
A0A0A0MR80,-0.06640026162053801,-0.03650449137182491,-0.0693726969694085,0.0,94.6,False
H3BS09,0.06217418028711255,0.033544038260696976,0.0,0.07938297623975143,90.8,False
A2RRD8,-0.061449873222823206,-0.03380437566220961,-0.08951728855590707,0.0,81.6,False
H0YJV3,0.06135587278746698,0.027766391990897345,0.0,0.10256417393796399,62.8,False
X6R8S9,-0.061123804710250855,-0.033242416962309396,-0.09561187859637821,0.0,80.60000000000001,False
M0R009,0.0609666712611728,0.03071999318846167,0.0,0.10048032976571575,64.8,False
O60296,-0.06040652747172279,-0.03312657144233514,-0.08687360761082805,0.0,77.2,False
H0Y9D3,-0.05916337689298887,-0.03213902575155965,-0.06962907168376621,0.0,82.8,False
E9PKQ1,0.05863525449106206,0.030560891527914004,0.0,0.08498039904031507,77.2,False
A0A0B4J1Y9,0.0564195325796634,0.022278131678598573,0.0,0.09224814604562892,58.4,False
F8VWL3,0.0549464728382422,0.028628159830335415,0.0,0.07833774102448568,69.0,False
P01824,-0.05442034555930914,-0.032269182018146776,-0.08774743232992029,0.0,81.2,False
D3YTI2,0.05380177963735214,0.03205012744768598,0.0,0.07872846605981872,84.39999999999999,False
F8VVY9,0.05191507043197667,0.026328742520179173,0.0,0.05985386050075327,87.6,False
O60245,-0.051330473786598094,-0.028576856240117094,-0.08964165909105425,0.0,71.39999999999999,False
E7EM64,0.05070926342183051,0.024191175516047974,0.0,0.08821641835618689,65.4,False
O94973,0.04936828043967393,0.029610480257172136,0.0,0.05437492111098326,94.19999999999999,False
A0A0U1RR93,-0.04854052320368308,-0.028044967967839108,-0.0726487664021105,0.0,82.6,False
G3V3A4,-0.0476253789730576,-0.023865932621406724,-0.06785644646712662,0.0,62.8,False
Q9BXU9,-0.047241631726674484,-0.026365573755222076,-0.05921799232971804,0.0,89.0,False
I3L2W2,0.04712678987248819,0.02626005699911703,0.0,0.07439343940155357,75.4,False
G3V256,0.04676781623479615,0.022429362656572995,0.0,0.07919290305503636,68.60000000000001,False
M0R197,0.046466185936163515,0.020809476768434667,0.0,0.0791116066443462,61.199999999999996,False
D6RAS9,0.04586441954265551,0.028766174563901167,0.0,0.06586823360674275,88.6,False
E7END6,0.04551408248831257,0.02727471180851526,0.0,0.06962781535652489,83.39999999999999,False
A0A2R8Y5Z7,-0.04435150558797713,-0.025211681846896993,-0.06524708829782083,0.0,84.0,False
B5MC51,0.04383774349983259,0.026679433612956455,0.0,0.06709070668809228,81.6,False
Q5JWV3,0.04320228432986054,0.028387216394249945,0.0,0.08078613254626345,72.2,False
F5GWQ8,-0.042652675863956054,-0.021275303045264798,-0.0861307286609137,0.0,60.0,False
A0A494C0U8,0.042086605938250116,0.02367322252622154,0.0,0.052423126583935345,87.0,False
Q96F81,-0.041717059993148446,-0.024995187227258308,-0.08177683117566022,0.0,70.19999999999999,False
Q7L2E3,0.04073383526944901,0.02302895752804572,0.0,0.06822761905311446,78.2,False
H0YLU6,0.04030440317853128,0.01978462136094054,0.0,0.0753314639367569,59.4,False
A0A075B6S5,0.04011897153010624,0.02201469762640479,0.0,0.07334945183005649,63.0,False
A0A805TBS0,0.03932839392161036,0.01867737190353485,0.0,0.06644746637155943,64.2,False
P04350,0.03687366159757924,0.016865245511904756,0.0,0.0760506330405486,50.2,False
E9PKD3,-0.03672957470514293,-0.021369334527140068,-0.06039610405099476,0.0,75.0,False
E7EW31,0.03670478802754567,0.01831885398832521,0.0,0.06327334832417413,63.4,False
Q8N715,-0.03586563730916618,-0.021018671932735853,-0.07331149964126041,0.0,64.8,False
O14948,-0.03531630107108964,-0.016953383468416742,-0.04699225512963774,0.0,78.8,False
A0A669KBJ6,-0.03491499060191973,-0.018519096765730964,-0.06011962267796506,0.0,64.4,False
A0A2R8YEQ5,0.033895462552456505,0.01889131026444368,0.0,0.07006695529662316,60.8,False
E9PKF6,0.03349126612393933,0.024779738396249185,0.0,0.0833927223546925,68.0,False
E7ESC9,-0.03331608184850738,-0.01706415162575627,-0.06860477403802333,0.0,56.99999999999999,False
D6R9F2,-0.03331160027332331,-0.0223512246797857,-0.07192985226337059,0.0,68.4,False
A0A2R8Y812,-0.03311120538132407,-0.018180769514383768,-0.07078072272990342,0.0,56.8,False
E9PLM6,-0.03300508519094969,-0.018078227879799184,-0.04932812013794295,0.0,79.60000000000001,False
P55196,0.03275276491882837,0.019544392801827674,0.0,0.05544777776922544,67.60000000000001,False
D3YTG3,0.032084764362328246,0.015449780725421034,0.0,0.045935478955881,66.2,False
A6NC48,-0.03120532118417932,-0.017307660723522477,-0.054392715240069375,0.0,58.599999999999994,False
Q9NZW5,-0.02877270608593229,-0.016705192256732605,-0.05542612964630987,0.0,72.6,False
A3KMH1,0.02848408432514368,0.013602484721506405,0.0,0.05333183311977096,62.2,False
A0A0U1RQM7,-0.028250923109553117,-0.014599520950521186,-0.05008999513126611,0.0,67.0,False
H0YBV0,-0.027556250016752094,-0.01826026670925368,-0.07416948466535328,0.0,55.400000000000006,False
A0A0J9YYF7,-0.027263297611823615,-0.0153736616984689,-0.053960774534196614,0.0,59.199999999999996,False
F2Z3A4,0.027083120125992226,0.014940719749234305,0.0,0.0676345920199966,52.6,False
P33076,-0.026597035900057315,-0.0180074298870612,-0.07525638675921482,0.0,59.0,False
P04003,0.026318687438976723,0.011980440962646163,0.0,0.03824646220194734,72.39999999999999,False
H7C5C2,0.025923265878307636,0.012904423670770795,0.0,0.03471789619648083,81.0,False
A0A8I5KSM3,0.02528374806500444,0.01609541180073627,0.0,0.04604424014076554,75.8,False
A0A7P0TBB6,0.025248912062782715,0.015192630773246731,0.0,0.03786124326470591,80.60000000000001,False
K7EQN7,-0.025127830814576726,-0.01542643615351059,-0.06027295989999795,0.0,57.8,False
E9PIN7,0.025054934589291734,0.014861742327644067,0.0,0.05652090202569687,63.2,False
J3KSN3,-0.02443759747659063,-0.015250061383584833,-0.05508765322977766,0.0,60.0,False
Q9NQZ2,0.02415169439940595,0.0147107715728345,0.0,0.048835318776997295,65.60000000000001,False
Q5SNV9,0.024107282752687465,0.013400526836519681,0.0,0.052721330884593465,57.4,False
O43747,0.023884044080591655,0.016056497621921535,0.0,0.051364172446221046,69.19999999999999,False
J3KMZ8,0.023831786607910042,0.012120765430684051,0.0,0.030651855994689444,79.80000000000001,False
H0Y5H5,0.023331245772458483,0.0143248067357274,0.0,0.051636095489180155,55.400000000000006,False
G3V4J5,-0.02298613426582947,-0.012082411874641237,-0.05690098147837014,0.0,49.8,False
C9JLK0,0.022889138698119232,0.01142578682750536,0.0,0.04106757011127351,57.8,False
Q6XZF7,0.022577793942817,0.01469909280956677,0.0,0.05817862339047622,60.4,False
P00915,0.022294179844752425,0.010997105471948172,0.0,0.04590894035761501,52.0,False
A0A8I5KNY4,-0.022113314411237223,-0.014013475214606008,-0.0660049269132874,0.0,48.8,False
H0YNC1,-0.021889563928880112,-0.014790009103741323,-0.0647723373064317,0.0,52.2,False
A6PVN6,-0.021772038751856862,-0.014612078327601837,-0.07257215726980466,0.0,49.0,False
A0A087WVD6,0.021418066899499287,0.012534932373917403,0.0,0.04259049397464537,61.199999999999996,False
