Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q9P2D3,-0.1265850221770596,-0.06907127212385124,-0.14396780555866212,0.0,94.8,False
A0A804HIM5,0.11944244966739663,0.06109354255546409,0.0,0.14137458693496308,85.8,False
Q3BBV0,-0.11074926436833787,-0.05994429386164746,-0.11610214759604996,0.0,95.19999999999999,False
A6NK53,0.10443636432750644,0.05546784743555366,0.0,0.1348341745699981,84.6,False
O75145,0.10324898445867958,0.05043213670990549,0.0,0.1359635554697431,83.6,False
H0Y300,-0.09910653851343397,-0.0531556088795559,-0.13508854283892652,0.0,89.2,False
F8W6X9,0.0978451734547894,0.05268904186318686,0.0,0.10823432110415127,94.8,False
Q86UP2,-0.09354614828303856,-0.049811559556179746,-0.08576307275798101,0.0,96.39999999999999,False
A0A2R8Y5G6,0.09286349006173174,0.05403447083219557,0.0,0.12650131306860266,89.8,False
G3V256,-0.08206698002376511,-0.04809263228815086,-0.129321331868464,0.0,87.8,False
Q96KN4,0.0785512418559993,0.036865180210591354,0.0,0.1046216880155179,76.4,False
H3BRJ5,-0.07725485801383108,-0.03624057314940292,-0.11383147086780675,0.0,77.4,False
I3L466,0.07716045855726109,0.03584869163573744,0.0,0.11383319483630348,65.2,False
H3BPV7,-0.0758512588090094,-0.04251014262395078,-0.07634086424446362,0.0,95.39999999999999,False
A0A0D9SFR6,0.07364022452439628,0.03560084732059844,0.0,0.09993508301883593,82.8,False
M0R1U0,-0.07312419502431068,-0.03211336075108603,-0.11181916797257263,0.0,64.8,False
E7EM64,0.07130701371075783,0.03628584591383611,0.0,0.0885000075296516,81.0,False
A0A0C4DGB6,-0.06714465726100825,-0.03682419813972739,-0.09545313990803501,0.0,81.0,False
A0A805TBS0,0.06705414206690505,0.036122240284769236,0.0,0.0904121605583313,69.0,False
A0A804HL07,0.06669287833061864,0.033094829684672845,0.0,0.10902544355893422,69.8,False
P07996,-0.06521429177998182,-0.028996442985179765,-0.08950225588409,0.0,70.39999999999999,False
H0YDS0,-0.06520458977616393,-0.030564916398874483,-0.09156789974929194,0.0,70.6,False
Q6ICB4,0.06477363869439862,0.030888917059144656,0.0,0.0829170822463014,79.4,False
A0A7P0NGZ6,0.06338121148814531,0.027351984970907704,0.0,0.09512773613345303,67.60000000000001,False
Q7Z4N8,-0.061546773658810734,-0.030419676639235185,-0.08891959211522299,0.0,78.2,False
Q02487,0.060483994938712766,0.029576254601902774,0.0,0.09919518702005119,63.2,False
M0QYS4,0.060368028729385,0.034107323435891165,0.0,0.11770677082892386,67.80000000000001,False
A0A6Q8PGW7,0.05860785931004497,0.02665202506311903,0.0,0.09128221170741635,68.0,False
C9JLV4,-0.05735132643377597,-0.027380655494475284,-0.08677623389087166,0.0,73.2,False
O15061,-0.05714882642132714,-0.030160871529952185,-0.08186780879773627,0.0,77.60000000000001,False
Q8TBA6,0.05470096110599847,0.029439004731473185,0.0,0.10546737363632586,61.6,False
Q9Y4E8,0.054308787825477794,0.028755230783972383,0.0,0.1012874736437007,66.8,False
Q5T985,0.051915625063557826,0.02647817404808229,0.0,0.08983009334602614,68.0,False
Q5JXD3,0.05087786247943678,0.02712279718145325,0.0,0.08211051438824758,73.2,False
Q92903,0.050693035481642425,0.028432695647425683,0.0,0.11892990308144308,57.199999999999996,False
Q9Y5G9,-0.0503857799882394,-0.02614996184958097,-0.09717601526325895,0.0,65.8,False
