Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A0A7P0T8J9,0.16874449288105614,0.09326293731327129,0.0,0.20205273281861544,93.8,False
P12814,0.16346514290789332,0.07843243653417441,0.0,0.2058526662030419,71.0,False
P27918,-0.13662244015009456,-0.07566152255973832,-0.18603027923998547,0.0,86.4,False
A0A087WTB2,0.13446299115668348,0.06748306029683436,0.0,0.18423389548621327,81.0,False
A0A075B729,0.12624797988952316,0.06767110529561407,0.0,0.1719469329641754,85.39999999999999,False
D6RD57,-0.11657875197719116,-0.06328327771958733,-0.1429652263338522,0.0,90.8,False
P51398,0.11567797567726863,0.056570469999718806,0.0,0.14150804029205416,83.8,False
P36955,-0.11341336998851474,-0.07114331584367715,-0.14199126034356524,0.0,85.8,False
Q9Y5T5,-0.11170534784343107,-0.0634144022790259,-0.1901069624690035,0.0,76.6,False
A0A1B0GUW5,-0.11001530155733055,-0.04882599091001556,-0.17602266158716395,0.0,65.60000000000001,False
A1L4K1,-0.10862011646807015,-0.05718378940351239,-0.16718501841915784,0.0,80.2,False
A0A0J9YY99,-0.10822138691344026,-0.04251202535967855,-0.15503716386100547,0.0,60.199999999999996,False
C9JGB1,0.10160899504978203,0.059827029783079244,0.0,0.17522903318840474,66.60000000000001,False
O94855,0.09854056016514459,0.06452597627114545,0.0,0.1599857186476913,83.0,False
O60239,0.09612507025939333,0.0648188441760452,0.0,0.2160718355747303,62.8,False
A0A0G2JMB2,0.09462330140612633,0.05967498209893519,0.0,0.15055888144066312,83.2,False
A0A087WVW6,-0.09200910568811439,-0.051001109905237894,-0.15984290931438094,0.0,64.0,False
C9JCY1,0.08649236827587488,0.067307553372898,0.0,0.16820381826914174,81.39999999999999,False
P01701,-0.07991217759733049,-0.03747613473338432,-0.13100868627726434,0.0,67.4,False
P32456,-0.07692784066264856,-0.03346751262907334,-0.13320776697206047,0.0,56.8,False
H3BMX3,0.07388222385449021,0.04325447995422692,0.0,0.09752173452001743,83.2,False
E7EVG2,-0.07355680595997426,-0.03720964206125262,-0.1260732476415704,0.0,65.8,False
A0A804HIC1,-0.07318469157271025,-0.045477772167723945,-0.13036771656260904,0.0,66.4,False
Q0VD83,0.07289435216007954,0.0390575280344282,0.0,0.13136391524349103,68.2,False
Q03591,0.06931817953534666,0.03444246565208226,0.0,0.12828937860752504,55.60000000000001,False
Q9NP86,-0.06867825314768321,-0.03607470766008233,-0.11741141552099997,0.0,62.2,False
J3QLL3,-0.06858450159105112,-0.036948405013389876,-0.0854109651227637,0.0,89.0,False
H0YJ02,-0.06670391329105904,-0.035369015820408065,-0.08555649778315977,0.0,80.2,False
Q02641,0.06530331970425433,0.029845540248051673,0.0,0.08788319261129517,76.8,False
E7ER26,-0.06274815748004044,-0.03695380151145912,-0.07314535331509613,0.0,84.8,False
K7EQM0,-0.060521807482931136,-0.04129076578670483,-0.1455531780718349,0.0,45.6,False
Q9BPY8,0.05995550476788202,0.030963543626447557,0.0,0.11395944552940904,65.0,False
F8W7U8,0.05908160664639228,0.0285387329214929,0.0,0.09850021627447042,60.0,False
C9JEU5,-0.0588217396249146,-0.03793333601060385,-0.08950357489510714,0.0,87.2,False
Q8TDR0,0.05794648961772735,0.030215313672126324,0.0,0.13202097692888892,51.6,False
F8WDQ8,-0.05435245579995569,-0.025754002305946776,-0.07969762789256082,0.0,71.6,False
A0A075B6R9,-0.05433143541763275,-0.03347710925785558,-0.145024952439182,0.0,53.2,False
C9IZ84,-0.05162413453633149,-0.031647015690493635,-0.09663430234923771,0.0,62.2,False
D6RGC2,-0.051525401152473026,-0.02959785480077464,-0.10226880294772271,0.0,59.199999999999996,False
F8W1D1,0.05152109354478171,0.034514088303943306,0.0,0.1406643626527945,57.99999999999999,False
Q01433,0.0512364531452117,0.032814849957627505,0.0,0.10187506760061119,68.60000000000001,False
A0A5K1VW28,0.049409961387149565,0.043290302712512815,0.0,0.15537900562399262,61.8,False
Q8TBA6,-0.049296188313975475,-0.02728688476024191,-0.06420783363051781,0.0,83.2,False
A0A087WZE3,0.048560126464785136,0.030481907474222875,0.0,0.1202843483552071,64.2,False
A0A0A0MSM8,-0.04574548634947432,-0.02823727754825488,-0.1022859852597701,0.0,58.599999999999994,False
A0A075B743,0.04553245876407844,0.03080912405633408,0.0,0.09466119286135379,64.2,False
F8WCG5,-0.04429192792624381,-0.03299804833977669,-0.1569431274002525,0.0007128937010362571,52.400000000000006,False
Q8TC20,-0.044092773597968225,-0.025262669503431714,-0.07696993979743998,0.0,69.39999999999999,False
Q86XP1,-0.04391685679924158,-0.023347250469780617,-0.07889887981910677,0.0,67.4,False
Q9UQ74,-0.04332990473030062,-0.028166051288029823,-0.06483614211235272,0.0,81.8,False
Q8NAV2,-0.04331047371308412,-0.018865435693962124,-0.1077643256789034,0.0,40.8,False
A0A2R8Y518,-0.042984496959977414,-0.02788571599948816,-0.07165162126293864,0.0,77.2,False
E7ESG2,0.04224042760650619,0.01712030352629134,0.0,0.07375078429826129,48.8,False
A0A1B0GUA3,0.04160498369096,0.030970776770492477,0.0,0.13273228286754218,53.800000000000004,False
A0A8I5KYV1,0.04106685505150819,0.020757223819461636,0.0,0.0726229751605978,58.8,False
P22301,-0.040376535436644226,-0.020110248863652924,-0.07691768015184768,0.0,52.2,False
A0A6I8PRJ0,-0.040228376820820755,-0.022919454833138172,-0.06956017017938305,0.0,69.19999999999999,False
F8VXJ5,0.03964209605236555,0.019010852885328975,0.0,0.12370796687679632,36.6,False
J3KSN3,-0.03768592001801739,-0.018979948449794594,-0.07454842685133375,0.0,63.6,False
A8MTL3,-0.03766498661095877,-0.0369726365157083,-0.13719007472926648,0.0,62.8,False
Q9NRY4,-0.037567600339968164,-0.020686513544523163,-0.06439789211668716,0.0,65.60000000000001,False
K7EQJ7,-0.037311624001392915,-0.021111772842616054,-0.08003797413344788,0.0,61.199999999999996,False
O75037,-0.03502185681497418,-0.028409774276950274,-0.1108916116341448,0.0,63.6,False
P0DH78,-0.03445411461987327,-0.022175344562590273,-0.06679776949460098,0.0,71.6,False
Q8HWS3,-0.033399085381311,-0.016925654203429338,-0.054626605663638916,0.0,69.19999999999999,False
A0A087X0R0,-0.03212863767289156,-0.014077082484713427,-0.04545430670531504,0.0,64.60000000000001,False
P48651,0.031917114175170645,0.018929681158475084,0.0,0.10494796100075812,40.8,False
H0YLG5,0.03163963666710394,0.015164177260886605,-0.01970805001118467,0.09287845350812765,40.2,False
A0A087WTY0,-0.031004266242405678,-0.020830879660612193,-0.05851057496699274,0.0,72.0,False
A0A0A0MSZ4,-0.02994839408733783,-0.014848203264076347,-0.07443777849164793,0.0,48.0,False
Q9H714,0.02944587290120323,0.026967836880106445,0.0,0.11196492981022584,61.6,False
P19652,-0.02901957497187359,-0.017632305123391194,-0.09716077467003101,0.0,44.0,False
Q14008,0.027033411224182735,0.019448234211700208,0.0,0.1020331767469216,42.6,False
Q99571,-0.026881703080832535,-0.013353409700988738,-0.07469414682418314,0.0,45.4,False
A0A7P0T9K1,-0.026834533900943678,-0.02008580755048459,-0.06209610833472471,0.0,70.39999999999999,False
Q9ULD0,0.026742774203227758,0.016109469607910508,0.0,0.0705232071032454,46.800000000000004,False
P35527,-0.026148597403734656,-0.01729496103584559,-0.05195667434723206,0.0,69.39999999999999,False
A0A2R8Y7Q3,-0.025036002873459612,-0.017472790486651246,-0.09259121698086506,0.0,40.8,False
X6R8W7,-0.02500340533493747,-0.015742835671331428,-0.07464470587194945,0.0,45.800000000000004,False
A0A075B7B5,-0.02497440931267179,-0.020694250437597424,-0.10073031462440682,0.0,47.4,False
Q1L5Z9,0.024006938558160617,0.022735464981445394,0.0,0.09666489793529957,59.0,False
J3QQM1,-0.023782156148828986,-0.014835980218582347,-0.04914117619711919,0.0,61.4,False
Q9NQZ2,0.023333568510028005,0.021173654830258182,-0.011714885656507874,0.11393543649172824,42.0,False
P0DPE3,-0.02296452815648834,-0.010142678264810787,-0.06568425933260304,0.0,34.599999999999994,False
