Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q14141,0.3645302170998846,0.1202855049009892,0.0,0.5188082200507873,48.8,False
Q9NQX4,0.3010383325070712,0.11070238488505338,0.0,0.5720654838817004,43.8,False
A0A590UK09,0.2521829081623852,0.11215431688059042,0.0,0.6174634044745232,43.8,False
A0A7P0T9D9,-0.1257539126695019,-0.058730514327364154,-0.4097877049444865,0.0,33.2,False
E7EVB6,-0.08274588617342062,-0.07683649662860152,-0.45169229592442545,0.0,38.6,False
A8MTL3,-0.05947632318529441,-0.0602997221397094,-0.46823331001603624,0.0,28.4,False
O75037,-0.0455283736327865,-0.03662051223398326,-0.3262852740275246,0.0,24.8,False
E5RG79,-0.04398578053796616,-0.04270264915134326,-0.30110326321276815,0.0,27.400000000000002,False
P52743,0.03242479013249321,0.05576140354739025,0.0,0.3749653691477648,31.4,False
Q9UNY4,-0.005811361407228741,-0.02272692884758495,-0.2876645016984684,0.0,14.399999999999999,False
