Protein,Coefficient,Abs_Coefficient
Q14141,0.3678856365062904,0.3678856365062904
Q9NQX4,0.29844176641553855,0.29844176641553855
A0A590UK09,0.24673038010367002,0.24673038010367002
A0A7P0T9D9,-0.12356818281183438,0.12356818281183438
E7EVB6,-0.08479687191297335,0.08479687191297335
A8MTL3,-0.06468057328373857,0.06468057328373857
E5RG79,-0.04512675832436955,0.04512675832436955
O75037,-0.04385027331968554,0.04385027331968554
P52743,0.031796132583389064,0.031796132583389064
Q9UNY4,-0.0064525423448888964,0.0064525423448888964
