Protein,Coefficient,Abs_Coefficient
P01023,0.048678771201938004,0.048678771201938004
Q63HQ2,-0.04352059210518161,0.04352059210518161
H0Y7Z1,-0.04279448539713878,0.04279448539713878
Q9NYK1,-0.03711067925784897,0.03711067925784897
Q16832,-0.03500021285596019,0.03500021285596019
Q7Z4L5,-0.0344230495037298,0.0344230495037298
G3XAM2,0.03286657041498751,0.03286657041498751
C9JCY1,-0.03159712556849066,0.03159712556849066
P38570,-0.029394220140984646,0.029394220140984646
A0A087WTW8,-0.028520707588968092,0.028520707588968092
A0A8I5KX78,0.025620063742947934,0.025620063742947934
A0A7I2V381,-0.025559800658898468,0.025559800658898468
H0YC35,-0.02550541916393757,0.02550541916393757
K7ERJ7,-0.024791621745916936,0.024791621745916936
A0A1B0GV02,-0.024227360321855636,0.024227360321855636
E9PGN7,-0.02408806514901568,0.02408806514901568
O60884,0.02385051091837405,0.02385051091837405
D6RE13,-0.02359829947907272,0.02359829947907272
Q9UBC2,-0.02225843278938551,0.02225843278938551
Q3MII6,-0.02020377410450957,0.02020377410450957
A0A0C4DH32,-0.01996645536064924,0.01996645536064924
P35908,-0.018670974256842995,0.018670974256842995
B5MCC8,-0.018531459720425515,0.018531459720425515
A0A1B0GXG3,-0.018077281834625918,0.018077281834625918
E9PQG0,0.01730248410634048,0.01730248410634048
Q9NSA1,-0.017123027334675238,0.017123027334675238
A0A0A0MRE5,0.01666728298470828,0.01666728298470828
E7EVA0,0.016306006722811708,0.016306006722811708
A0A804HKE7,0.01630600672281161,0.01630600672281161
P02649,-0.015795996365768564,0.015795996365768564
Q9P2D6,-0.015477583507057174,0.015477583507057174
A0A7P0T8X9,-0.014431918715388861,0.014431918715388861
A0A8I5KWK4,-0.014012665646872603,0.014012665646872603
P23142,-0.012931216330345484,0.012931216330345484
A0A1B0GW24,-0.01291589969719148,0.01291589969719148
Q86T82,-0.012473182758579698,0.012473182758579698
A0A087WU87,-0.011563283240584215,0.011563283240584215
P07360,-0.011551080526839593,0.011551080526839593
D6RIY3,0.011461276736845204,0.011461276736845204
O75150,0.011366241513946508,0.011366241513946508
A0A0A0MS15,0.011188911330986678,0.011188911330986678
K7EM18,-0.01113839918409766,0.01113839918409766
J3KPC5,-0.010213195655517733,0.010213195655517733
O14978,-0.009726290805768527,0.009726290805768527
H7BXE3,-0.009643360269761913,0.009643360269761913
E7EVB6,-0.009446841667311828,0.009446841667311828
Q15276,-0.009013367367662152,0.009013367367662152
H0Y2P7,-0.008537599197203838,0.008537599197203838
H0YAC6,-0.008076668577673616,0.008076668577673616
A0A8I5QJE6,-0.007616845816415342,0.007616845816415342
A0A6Q8PF30,0.007438718382752508,0.007438718382752508
Q5VY30,-0.007332784430682026,0.007332784430682026
Q8TAT6,-0.006883517817138842,0.006883517817138842
A0A087WZ85,-0.006868456186786993,0.006868456186786993
P01780,-0.006643448377172696,0.006643448377172696
Q8WVM7,-0.006620511535960832,0.006620511535960832
O43252,-0.006005640211490189,0.006005640211490189
G3V419,-0.005503589432969491,0.005503589432969491
Q5JZH3,-0.005342459143012996,0.005342459143012996
A0A3B3ISL2,0.004651537420839928,0.004651537420839928
A0A0U1RQG6,-0.004387317951527106,0.004387317951527106
E9PD99,-0.0039871194878722555,0.0039871194878722555
Q5TFM2,0.003924240968189465,0.003924240968189465
A0A0A0MQZ1,-0.0036867919790532265,0.0036867919790532265
I3L325,-0.0036623133439691096,0.0036623133439691096
B5MBY2,0.003313323454579197,0.003313323454579197
Q9H977,-0.0032452494006137986,0.0032452494006137986
P51690,-0.002114950946207621,0.002114950946207621
Q9NRY4,-0.001870047367077679,0.001870047367077679
Q99666,-0.0009705187863996423,0.0009705187863996423
Q9NUQ8,-0.00088214876837474,0.00088214876837474
E9PHT9,0.0006917853416177312,0.0006917853416177312
E2QRE5,0.0006686213472956739,0.0006686213472956739
F8VYN9,8.498533791250676e-05,8.498533791250676e-05
