Protein,Coefficient,Abs_Coefficient
P09104,-0.11103681345879797,0.11103681345879797
Q8TBY8,0.10093008616098588,0.10093008616098588
H0Y920,0.08623715460826406,0.08623715460826406
A0A8I5KXR5,0.08620621075071,0.08620621075071
P38570,0.08514626343900646,0.08514626343900646
I3L1V4,0.08315875408684796,0.08315875408684796
M0QYN1,0.08159901594789358,0.08159901594789358
Q9Y2H9,-0.08062455605474822,0.08062455605474822
H7C070,0.07890552947767447,0.07890552947767447
Q63HQ2,0.0778527858152003,0.0778527858152003
A0A7I2V381,0.07681771678677309,0.07681771678677309
E9PQG0,-0.07280451380599992,0.07280451380599992
A0A088AWN3,-0.0727426866141329,0.0727426866141329
F8WF52,0.07194541803474365,0.07194541803474365
Q9UMQ6,0.06967848080996318,0.06967848080996318
Q9NRY4,0.06907541918453705,0.06907541918453705
Q9HCM2,0.06887800222441508,0.06887800222441508
K7EMH3,0.06639254530439459,0.06639254530439459
Q00013,0.06437925709715547,0.06437925709715547
Q8IZX4,-0.0639991285976551,0.0639991285976551
Q5VY30,0.06345031460237975,0.06345031460237975
D6RC27,0.0630952762144361,0.0630952762144361
Q96PY5,-0.06122401134987554,0.06122401134987554
Q8WVM7,0.06113471270559065,0.06113471270559065
A0A1B0GV02,0.058673499764389965,0.058673499764389965
A0A1W2PPM7,0.05787826751440023,0.05787826751440023
Q8WWZ7,0.057221417995141396,0.057221417995141396
A0A0C4DG76,0.0570960743102646,0.0570960743102646
D6RIY3,-0.056702763664680474,0.056702763664680474
Q9UFN7,0.056130050580107706,0.056130050580107706
Q12851,0.05529902960470694,0.05529902960470694
B5MBX5,0.05490980095297127,0.05490980095297127
Q6IPM2,-0.054033088156600954,0.054033088156600954
A0A075B6P5,0.05345144532427577,0.05345144532427577
O95568,0.051794616362415204,0.051794616362415204
A0A0C4DH32,0.051542083216411495,0.051542083216411495
Q9NSA1,0.05043429862956572,0.05043429862956572
A0A5K1VW81,0.050386502883769745,0.050386502883769745
A0A087WZ85,0.04902405883933813,0.04902405883933813
K7EMK7,0.04881630390942914,0.04881630390942914
P07384,0.048551268743571754,0.048551268743571754
A0A0G2JMB2,0.04767528949703989,0.04767528949703989
Q8IYF3,-0.047360922713024396,0.047360922713024396
A0A1W2PQD2,0.04706483699693958,0.04706483699693958
E7EVA0,-0.04629619006690021,0.04629619006690021
A0A804HKE7,-0.046296190066899945,0.046296190066899945
E9PHT9,-0.0461848287928981,0.0461848287928981
D6RB97,0.046182473853268804,0.046182473853268804
Q9Y2J2,0.046124600670691476,0.046124600670691476
Q9NXL2,0.046063534995894474,0.046063534995894474
E7EVB6,0.04565887037196498,0.04565887037196498
E9PGN7,0.04554703264465014,0.04554703264465014
Q8TAT6,0.04546765072828554,0.04546765072828554
Q99543,0.04443644210451108,0.04443644210451108
E7ERC8,0.043623255131314896,0.043623255131314896
D6RF22,0.04359522773932843,0.04359522773932843
A0A669KBG8,-0.04332561847986087,0.04332561847986087
A0A494C032,-0.04306798930366955,0.04306798930366955
Q9P2K3,0.04299872244967366,0.04299872244967366
K7ERJ7,0.04235509956888386,0.04235509956888386
A0A5F9ZHX5,0.042298386981020994,0.042298386981020994
A0A2U3TZM0,-0.040808546034755255,0.040808546034755255
A0A5F9ZHJ2,0.039647102260917624,0.039647102260917624
A1L4K1,-0.03943837430961261,0.03943837430961261
P00748,0.03917728846054573,0.03917728846054573
C9J461,0.03907482593451859,0.03907482593451859
Q7Z4L5,0.0372635517260085,0.0372635517260085
P02649,0.036874418627359296,0.036874418627359296
Q02763,-0.036559756690422586,0.036559756690422586
Q9NVP1,0.036230078244145626,0.036230078244145626
A0A8I5KX78,-0.03597744575425023,0.03597744575425023
Q86T82,0.035790188659284565,0.035790188659284565
A0A0C4DFL8,0.03570280376703276,0.03570280376703276
Q7Z478,-0.03567149871598813,0.03567149871598813
Q9UNN8,0.03561051629533363,0.03561051629533363
Q9H977,0.035569940856830747,0.035569940856830747
F8WCI6,0.035265171678475295,0.035265171678475295
A0A1W2PRC7,0.03494074070211132,0.03494074070211132
Q9NZT1,-0.03472739408468772,0.03472739408468772
Q5T985,0.034591431229634345,0.034591431229634345
P19823,0.034591431229630265,0.034591431229630265
A0A0C4DH73,0.03445160646254422,0.03445160646254422
A0A804HLE8,0.03408840385984329,0.03408840385984329
A0A087X0R0,0.03405120276941743,0.03405120276941743
G5E9C5,0.03363101869752007,0.03363101869752007
H0YC35,0.03355945853574404,0.03355945853574404
A6NKT7,0.03353465847268452,0.03353465847268452
A0A286YES2,0.03352794804077745,0.03352794804077745
A0A087X2I7,0.03349279389848364,0.03349279389848364
O60884,-0.0334678016478346,0.0334678016478346
Q96M83,0.033184199204483095,0.033184199204483095
Q9UPS8,0.03315920136941996,0.03315920136941996
H0YAC9,0.032708392424565455,0.032708392424565455
Q96RY5,0.03248958902783628,0.03248958902783628
Q9ULH0,-0.03234188082200171,0.03234188082200171
E7EQY3,-0.03207858898686843,0.03207858898686843
Q9Y234,-0.031679370020010776,0.031679370020010776
Q7Z3J3,0.0316679818079738,0.0316679818079738
A0A2R8Y437,0.03166048594046048,0.03166048594046048
Q3MII6,0.03153302843318649,0.03153302843318649
Q9Y5G2,0.03127969471858977,0.03127969471858977
G3V302,0.031057938128466186,0.031057938128466186
A0A0A0MS15,-0.03093741569144273,0.03093741569144273
O43639,-0.030580370417785056,0.030580370417785056
Q5JXR5,-0.030293509290686322,0.030293509290686322
Q6UXI7,0.030234218044375028,0.030234218044375028
Q9NYK1,0.02992668172675747,0.02992668172675747
Q8IV08,0.029681083620920867,0.029681083620920867
A0A494C1Q3,0.02891747021958988,0.02891747021958988
H0YL25,-0.02864220085685089,0.02864220085685089
A0A0A6YYF8,0.028520400350173957,0.028520400350173957
P43652,-0.028049786823424173,0.028049786823424173
A0A7I2V2U9,-0.027968846315877965,0.027968846315877965
