Protein,Coefficient,Abs_Coefficient
Q8TBY8,-0.05011858193763803,0.05011858193763803
Q8NHH9,-0.0487527046286898,0.0487527046286898
P38570,-0.048458848018412055,0.048458848018412055
C9JCY1,-0.048458485109177205,0.048458485109177205
Q8WVM7,-0.04152126985212987,0.04152126985212987
O75410,-0.0348732331451545,0.0348732331451545
A0A087WZ85,-0.031081453080335716,0.031081453080335716
A0A087WU87,-0.028817991205249808,0.028817991205249808
G3V419,-0.026326765750213796,0.026326765750213796
A0A5F9ZHN1,-0.025583792588992054,0.025583792588992054
K7ELL4,-0.02468069606273448,0.02468069606273448
F8WCI6,-0.02455247096859848,0.02455247096859848
Q5JZH3,-0.02451640937860972,0.02451640937860972
F8VYN9,0.023658314087935943,0.023658314087935943
K7EMK7,-0.022429107836220593,0.022429107836220593
Q16832,-0.022083822975262846,0.022083822975262846
Q8IZC6,-0.021630445380803453,0.021630445380803453
H0YC35,-0.020696050470463676,0.020696050470463676
Q6W2J9,0.020424087154103408,0.020424087154103408
A0A1B0GTU1,-0.02039175505019671,0.02039175505019671
Q96PY5,0.019983723824595016,0.019983723824595016
A0A669KBG8,0.01824011070538992,0.01824011070538992
Q8NEP3,-0.016742373375857166,0.016742373375857166
Q3MII6,-0.015511553389621716,0.015511553389621716
F5H481,-0.015428678596647136,0.015428678596647136
Q63HQ2,-0.015068005805898482,0.015068005805898482
Q9NYK1,-0.014790525030423454,0.014790525030423454
H7C0I7,-0.014717615034903297,0.014717615034903297
O14976,-0.013925585571968902,0.013925585571968902
Q02763,0.013609013835125871,0.013609013835125871
Q7Z6L1,-0.013538799824533689,0.013538799824533689
E9PHW9,0.013380550429754785,0.013380550429754785
Q6XZF7,-0.012420485979317844,0.012420485979317844
Q9NQX4,-0.012095436392904607,0.012095436392904607
P22792,0.01165007823105354,0.01165007823105354
Q96F81,0.011390063185228847,0.011390063185228847
A0A8I5KXR5,-0.011186235080522904,0.011186235080522904
F8WEK9,-0.010773548094303262,0.010773548094303262
A0A8I5KPH7,-0.010674305353101132,0.010674305353101132
G3V1N2,-0.01026656288294257,0.01026656288294257
A0A0A0MRM2,0.010054047335381395,0.010054047335381395
Q5JXR6,-0.009645708815828637,0.009645708815828637
P01597,-0.009306098617813141,0.009306098617813141
Q9P2D6,-0.008784058477192998,0.008784058477192998
E9PK91,-0.007808278870647884,0.007808278870647884
A0A087WT09,-0.007030454880241445,0.007030454880241445
P07360,-0.006785482232429891,0.006785482232429891
A0A7I2V381,-0.0066555664224377045,0.0066555664224377045
P50583,-0.006545189342861454,0.006545189342861454
Q8N5C6,0.005673546431468593,0.005673546431468593
A0A087WWT2,0.005127245175028458,0.005127245175028458
G3XAM2,0.005123255120281681,0.005123255120281681
E9PQG0,0.005040413879325751,0.005040413879325751
P19827,-0.004875343410010922,0.004875343410010922
E9PHT9,0.003727745865464451,0.003727745865464451
B4DQI1,0.003458111817202543,0.003458111817202543
Q495G5,0.003173232402704618,0.003173232402704618
Q5THN1,-0.0026840624938122004,0.0026840624938122004
Q9NSA1,-0.0025474777447094155,0.0025474777447094155
P53672,0.002280597667324847,0.002280597667324847
P35908,-0.002092544820064136,0.002092544820064136
A0A8I5KVB5,0.0014700050969123212,0.0014700050969123212
A0A7P0TB98,0.0005422333333899432,0.0005422333333899432
G3V563,5.7393093982578126e-05,5.7393093982578126e-05
