Protein,Coefficient,Abs_Coefficient
Q86W68,-0.0552295907642708,0.0552295907642708
A0A0A0MRY4,0.04376397551673795,0.04376397551673795
C9J7T7,0.039488328188112265,0.039488328188112265
A0A7P0Z431,0.03290895065058331,0.03290895065058331
H0YAS8,-0.02819166265827759,0.02819166265827759
H3BPK2,0.028167995557442906,0.028167995557442906
Q9H765,-0.02772927096350003,0.02772927096350003
K7EPK2,-0.026983897825148782,0.026983897825148782
Q9HCE5,0.026787096690567908,0.026787096690567908
O95747,0.026539965311243703,0.026539965311243703
Q5VW22,-0.026289675122854225,0.026289675122854225
P45985,-0.02544214416275794,0.02544214416275794
A0A0G2JM25,-0.024543129937787785,0.024543129937787785
Q96F81,-0.024536656850250405,0.024536656850250405
A0A8I5KW61,-0.02422406303022106,0.02422406303022106
Q9BY66,-0.02286205451769319,0.02286205451769319
A0A075B7B8,0.022251796286323743,0.022251796286323743
M0R0X1,-0.021500337467377003,0.021500337467377003
A0A8I5KYV1,-0.021299685557958675,0.021299685557958675
A0A7I2YQS5,0.020444992424259616,0.020444992424259616
A0A1B0GVY1,0.019467507782572797,0.019467507782572797
Q7Z478,-0.01867449313845159,0.01867449313845159
Q9Y2F9,0.018431914773245576,0.018431914773245576
H0Y2S9,-0.017939483171888357,0.017939483171888357
Q6ICB4,-0.017101619286241123,0.017101619286241123
Q9BVM2,-0.016507435489032638,0.016507435489032638
Q8TCC6,-0.016073399268628843,0.016073399268628843
Q9Y5H1,-0.015842245997777282,0.015842245997777282
A0A0C4DH67,0.015650627245480726,0.015650627245480726
A0A087WVD6,0.014219121521758997,0.014219121521758997
J3KN75,-0.014067879879103311,0.014067879879103311
A0A494C0H8,0.013993252596880855,0.013993252596880855
Q86UP2,0.01346395551014109,0.01346395551014109
Q9BY12,-0.01265090858387455,0.01265090858387455
A0A499FJ85,-0.012452788768696968,0.012452788768696968
D6RA70,-0.011488874499422538,0.011488874499422538
P51589,-0.011242872734382858,0.011242872734382858
Q53SF7,-0.010944221561753521,0.010944221561753521
A0A0J9YVU5,0.010688642629924467,0.010688642629924467
O60336,0.009356549878930845,0.009356549878930845
Q9NYK1,0.0091098942051122,0.0091098942051122
Q9P2K3,-0.009026982252502303,0.009026982252502303
B7Z6D5,-0.00867456334815891,0.00867456334815891
A4D1F6,-0.008669986204089273,0.008669986204089273
Q8TF46,-0.00804646453669621,0.00804646453669621
F6XDC4,0.007402781523727382,0.007402781523727382
P42336,-0.007298065991737096,0.007298065991737096
E9PG71,0.006927642021832553,0.006927642021832553
E7EM64,0.005734079298208015,0.005734079298208015
O43747,0.005658735851513427,0.005658735851513427
A0A6Q8PFV6,-0.005627009699882879,0.005627009699882879
A8MY32,-0.005279870941084809,0.005279870941084809
Q8N3J3,0.0050364636122609404,0.0050364636122609404
E5RJU9,-0.005002418951287457,0.005002418951287457
P42262,-0.004893923040260704,0.004893923040260704
A0A494C0K8,0.004455698651455991,0.004455698651455991
A0A0A0MRG9,0.004423047190129129,0.004423047190129129
A0A1B0GWI5,-0.004375337603566488,0.004375337603566488
A0A1B0GTX1,0.003990054643834224,0.003990054643834224
Q96HU1,-0.003924403780053359,0.003924403780053359
J3KMZ8,0.0038003057815555307,0.0038003057815555307
P23142,0.003540729516694027,0.003540729516694027
P06727,0.0032534274095109006,0.0032534274095109006
F8WBJ2,0.002990994956659204,0.002990994956659204
H3BPE8,0.002681744213501633,0.002681744213501633
Q7Z7A4,0.0026730093612406156,0.0026730093612406156
O43307,-0.002618076865285837,0.002618076865285837
Q8N9V7,0.002456684286681953,0.002456684286681953
Q8TD43,0.0019583520630547207,0.0019583520630547207
Q02985,-0.0018809742019632125,0.0018809742019632125
H0Y5T1,-0.0017656475838855406,0.0017656475838855406
C9JJN0,-0.001756741050691307,0.001756741050691307
Q86TB3,0.001740303738782703,0.001740303738782703
A0A7P0TBB6,0.0014348894360820146,0.0014348894360820146
F5H658,-0.001320140934853036,0.001320140934853036
A6PVN6,-0.001192854621823958,0.001192854621823958
A0A2R8Y437,0.0009289226475111079,0.0009289226475111079
P08294,0.000610994974387445,0.000610994974387445
E7EPX0,-0.0005523860575367027,0.0005523860575367027
E7EX59,0.0005477076558866908,0.0005477076558866908
A0A2R8Y6J6,-7.617454511320126e-05,7.617454511320126e-05
P56199,-1.4278168796698823e-05,1.4278168796698823e-05
A0A7I2V5R3,-4.88637076743907e-06,4.88637076743907e-06
