Protein,Coefficient,Abs_Coefficient
P45985,0.12675260757308146,0.12675260757308146
Q3LI64,-0.08989102830443599,0.08989102830443599
Q8TC20,0.0897136984682428,0.0897136984682428
Q96A65,-0.08135741032863707,0.08135741032863707
B8ZZQ2,0.07954675323363251,0.07954675323363251
A0A2U3TZM7,0.07315978270878193,0.07315978270878193
A0A8I5KRB8,-0.07180357777356457,0.07180357777356457
A0A087WSY5,-0.0710119242109606,0.0710119242109606
A0A0C3SFZ7,-0.06095671391096107,0.06095671391096107
B0QY69,-0.06009244568549848,0.06009244568549848
K7EPK2,0.05991427486482686,0.05991427486482686
Q7L273,-0.05976646451405888,0.05976646451405888
Q13461,-0.05855647100924456,0.05855647100924456
O95747,-0.055778353366274694,0.055778353366274694
O75051,0.055623552791436895,0.055623552791436895
Q03112,-0.053259130783867424,0.053259130783867424
A0A6Q8PGG9,0.05316040808286848,0.05316040808286848
E9PJK2,-0.05195009924578573,0.05195009924578573
F5GX45,-0.05168994453704922,0.05168994453704922
E7END6,-0.04991370304175055,0.04991370304175055
Q0VF96,-0.048256569118472224,0.048256569118472224
Q86XN6,0.04758675220574767,0.04758675220574767
Q8IV48,-0.047252551475082866,0.047252551475082866
Q96AE7,0.04711828550337303,0.04711828550337303
O75132,-0.04647674691853076,0.04647674691853076
Q6XZF7,-0.04532949958467859,0.04532949958467859
H7C5E4,0.044197492512625294,0.044197492512625294
C9J295,-0.043644536615666425,0.043644536615666425
H0YJV3,-0.04275430367882044,0.04275430367882044
A0A7P0TBB6,-0.0421667103637815,0.0421667103637815
Q9BY66,0.04187294926092186,0.04187294926092186
J9JIH8,0.04163711473920277,0.04163711473920277
A0A7P0T897,-0.04068232675545904,0.04068232675545904
A6PVN6,0.0405584706951663,0.0405584706951663
Q5VTM2,-0.04048016417924965,0.04048016417924965
P26358,-0.04028782951046626,0.04028782951046626
B8ZZ73,-0.0396901980661985,0.0396901980661985
A0A669KBJ6,0.03930515393634002,0.03930515393634002
A0A087WZ16,-0.039215823762301365,0.039215823762301365
A0A0J9YW37,-0.03752951197567221,0.03752951197567221
E7EM64,-0.037459393754822094,0.037459393754822094
A0A2R8YEK3,-0.03648899423713708,0.03648899423713708
O15360,-0.03632089514032021,0.03632089514032021
J3KMZ8,-0.0357973389126349,0.0357973389126349
Q96F81,0.03550954325087061,0.03550954325087061
O75037,-0.03550424499626813,0.03550424499626813
Q6ICB4,0.03484394088238195,0.03484394088238195
F8WBJ2,-0.03481970737070008,0.03481970737070008
H3BU64,0.033550744648557125,0.033550744648557125
P54753,0.03347452474457636,0.03347452474457636
Q9BRR8,-0.033182038548696384,0.033182038548696384
K7EJR2,-0.03299659956137207,0.03299659956137207
A0A7P0Z431,-0.03190790138583822,0.03190790138583822
P16144,-0.031250888252291574,0.031250888252291574
P51854,0.031192972600068637,0.031192972600068637
H0YKN8,0.03072435043472506,0.03072435043472506
A0A087WT21,-0.029767683363340774,0.029767683363340774
Q5HYC2,0.029520656804192216,0.029520656804192216
Q96NG3,-0.029346214171046214,0.029346214171046214
Q96PB1,-0.02930454507022982,0.02930454507022982
P33076,0.028372945856132873,0.028372945856132873
Q86W28,-0.028354384861526492,0.028354384861526492
Q9Y5G7,0.028038756934731294,0.028038756934731294
Q8N7X0,-0.027892937298464114,0.027892937298464114
F5H538,-0.027811932143309372,0.027811932143309372
A0A087WYN1,-0.027650835318911285,0.027650835318911285
Q8IYB7,-0.02622340842115385,0.02622340842115385
A0A8I5KQ45,0.025269640106238844,0.025269640106238844
H0YLA8,-0.025247894030221606,0.025247894030221606
G3V3H8,0.02521070982031897,0.02521070982031897
Q9NQZ2,-0.025030784719769664,0.025030784719769664
C9JJV8,0.024846271573485606,0.024846271573485606
Q86UP2,-0.024829610515186184,0.024829610515186184
Q2TAL5,0.024778428488094473,0.024778428488094473
A0A7I2V381,0.02468878959960667,0.02468878959960667
M0R2H6,0.024506482839479548,0.024506482839479548
A0A0C4DH67,-0.02444639615742385,0.02444639615742385
Q9P2D3,-0.024422113565162457,0.024422113565162457
P01601,0.023957705244363334,0.023957705244363334
C9JYR7,-0.023942089132467176,0.023942089132467176
A0A1B0GTX1,-0.023679792845789138,0.023679792845789138
K7EJD1,0.02344658853307342,0.02344658853307342
J3KTH2,0.022893653798923757,0.022893653798923757
O43683,-0.022479217233680328,0.022479217233680328
A0A087WXG6,0.021942466723355664,0.021942466723355664
Q7Z478,0.021924745097760254,0.021924745097760254
E7EWD5,-0.02187595343930122,0.02187595343930122
