Protein,Coefficient,Abs_Coefficient
Q9Y5H1,-0.1220177961264865,0.1220177961264865
A0A7P0TAP4,-0.11784404288426273,0.11784404288426273
C9J7T7,0.11615957410129746,0.11615957410129746
O43307,-0.11445742876959375,0.11445742876959375
F5GWQ8,0.10238409501376242,0.10238409501376242
O43896,-0.09993831727120607,0.09993831727120607
P06727,0.09878866468278988,0.09878866468278988
Q02487,-0.09844990435580578,0.09844990435580578
A0A494C0K8,0.09684704080251261,0.09684704080251261
J3QR65,0.09508958551897241,0.09508958551897241
P07996,0.09249378279530307,0.09249378279530307
Q8NG11,-0.09116488626040108,0.09116488626040108
A0A0G2JM25,-0.09032412530653446,0.09032412530653446
O43680,-0.08893759019477084,0.08893759019477084
A0A1W2PNZ3,-0.08656935116208027,0.08656935116208027
P00519,-0.08653390804297116,0.08653390804297116
A0A0C4DH32,-0.08587600773970115,0.08587600773970115
F5H481,-0.08513529231207093,0.08513529231207093
O43707,0.08511052258498018,0.08511052258498018
Q9NP86,-0.08396415677527182,0.08396415677527182
P02100,-0.07929164028683618,0.07929164028683618
E7EX60,-0.07851089685236197,0.07851089685236197
Q9ULD4,-0.07791497573267404,0.07791497573267404
A0A7I2YQS5,0.07778801048265366,0.07778801048265366
Q9Y5E4,-0.07679129259013856,0.07679129259013856
J3QRN1,-0.07578863009009375,0.07578863009009375
B7Z493,-0.07539023014735534,0.07539023014735534
P01019,0.07424090394719893,0.07424090394719893
M0R0R1,-0.07412844828659428,0.07412844828659428
H3BQ17,-0.07406819651595142,0.07406819651595142
A0A2U3TZM7,-0.07332668276984182,0.07332668276984182
A0A0C4DH35,-0.07272265557853273,0.07272265557853273
B1ALH6,-0.07243707886377052,0.07243707886377052
C9J660,0.07232032182325257,0.07232032182325257
P10645,-0.07214720878640869,0.07214720878640869
P16383,-0.07177079625714591,0.07177079625714591
P32456,-0.07040025277800907,0.07040025277800907
I3L466,-0.06967348559925564,0.06967348559925564
G3V4X7,0.06637486649012712,0.06637486649012712
H0YAS8,-0.0639332776552773,0.0639332776552773
P54284,-0.0627610143285949,0.0627610143285949
Q99590,0.06270351328520152,0.06270351328520152
Q96A65,0.061987961296789296,0.061987961296789296
K7EMK7,-0.06157620321853963,0.06157620321853963
Q6MZT1,-0.06102301155138677,0.06102301155138677
E9PN75,0.05876335362977764,0.05876335362977764
Q96PX6,-0.058212509319734956,0.058212509319734956
Q8TE12,-0.05811948330997866,0.05811948330997866
M0R0X1,-0.057963583558690496,0.057963583558690496
Q9UPW8,0.057875267125367655,0.057875267125367655
A0A087WTN1,0.05765226061124875,0.05765226061124875
F8VNP7,0.05761159758438798,0.05761159758438798
A6NK53,-0.057599311722951116,0.057599311722951116
A4D1F6,-0.05756073753544334,0.05756073753544334
A0A669KBG8,-0.05744476849171277,0.05744476849171277
A0A804HJ28,-0.05706696088804096,0.05706696088804096
H0YDS0,0.05660788955970089,0.05660788955970089
G3V4J5,-0.056190231147490416,0.056190231147490416
D6R9P6,-0.05616469379305617,0.05616469379305617
A0A8I5KRB8,0.0557339135124299,0.0557339135124299
J3KTA4,-0.05567487513816542,0.05567487513816542
Q9ULH7,0.054841604902498446,0.054841604902498446
P05089,-0.05471144143709057,0.05471144143709057
U3KQE6,0.054535820116879005,0.054535820116879005
O94885,-0.05418774069521087,0.05418774069521087
F6XDC4,0.054040487624466026,0.054040487624466026
Q7Z7A4,0.05400038473233241,0.05400038473233241
Q9UK13,-0.053677943461146724,0.053677943461146724
E7EM64,0.05209881213598124,0.05209881213598124
Q16513,0.05192276100770172,0.05192276100770172
P55196,0.05078062323118393,0.05078062323118393
Q8WXE0,-0.04988579537025731,0.04988579537025731
A0A7I2V2L4,-0.049866129213117755,0.049866129213117755
A0A0G2JMG9,-0.04927799421567968,0.04927799421567968
H0YGK4,-0.0491132712879741,0.0491132712879741
Q86TB3,0.04909590276153594,0.04909590276153594
Q9BZ23,-0.04883982602351494,0.04883982602351494
Q15057,-0.048805724374248356,0.048805724374248356
Q5SW79,0.048740554216739486,0.048740554216739486
A0A7I2V2F9,-0.04860450937049987,0.04860450937049987
A6NIW2,0.048194642676256005,0.048194642676256005
O95747,0.04789004968426327,0.04789004968426327
A0A8I5KW61,-0.047684915824799654,0.047684915824799654
H0YDS2,-0.04756809162167935,0.04756809162167935
O60832,-0.04728495758609652,0.04728495758609652
Q6ZVN7,-0.04626426781904456,0.04626426781904456
Q9BVM2,-0.04600883746047185,0.04600883746047185
P00915,-0.045846296385673335,0.045846296385673335
Q96QE3,-0.045287426934007606,0.045287426934007606
Q68D06,-0.04513485253104835,0.04513485253104835
J3QR90,-0.04420135785169884,0.04420135785169884
F5H252,-0.043577501279746564,0.043577501279746564
B1AKL4,-0.043457352497852625,0.043457352497852625
A0A0A0MSS3,-0.04345163426053784,0.04345163426053784
I3L0W3,-0.04333227090476639,0.04333227090476639
Q7Z406,-0.043273674652635694,0.043273674652635694
A0A1W2PRI9,-0.04320517923352766,0.04320517923352766
Q9H765,-0.04299046853749733,0.04299046853749733
Q6IPM2,0.04263353051542664,0.04263353051542664
J3KTH2,-0.04263099415169189,0.04263099415169189
M0R197,-0.04261991261393281,0.04261991261393281
A0A494C0H8,0.042280210152889824,0.042280210152889824
A0A2R8YDM2,-0.04199538178449645,0.04199538178449645
H3BT71,-0.041972621302823775,0.041972621302823775
A0A2R8Y7X9,-0.04189547410625981,0.04189547410625981
A0A075B6T4,-0.04173669203210033,0.04173669203210033
Q96NA2,0.04168397548296367,0.04168397548296367
Q9NY33,-0.04126349913897142,0.04126349913897142
B5MCC4,-0.04117642470950877,0.04117642470950877
A0A590UK12,0.041140532722874525,0.041140532722874525
Q5VW22,-0.04111314451838749,0.04111314451838749
Q68D10,0.041001375665724316,0.041001375665724316
F8VQF4,-0.04089899192917987,0.04089899192917987
Q5VZM2,0.040208591000230616,0.040208591000230616
A0A096LNH4,-0.0396150477773702,0.0396150477773702
P69905,-0.03955905611749615,0.03955905611749615
P54753,-0.039309171805846414,0.039309171805846414
A0A2U3TZL3,-0.03922824902301686,0.03922824902301686
E7END6,-0.0387489957844273,0.0387489957844273
E7EW31,-0.03863950760256504,0.03863950760256504
E9PPF2,0.03857699120987321,0.03857699120987321
E9PKF6,-0.03842121925262622,0.03842121925262622
Q8IZF7,-0.038362197313171593,0.038362197313171593
Q13164,-0.03777388152211145,0.03777388152211145
Q92994,0.03760161119221798,0.03760161119221798
H3BPE8,-0.03757735071600113,0.03757735071600113
A6ND93,-0.037521374398649505,0.037521374398649505
A0A6Q8PGM3,-0.037379489513675895,0.037379489513675895
A0A087WW87,-0.03732433704974979,0.03732433704974979
K7EJJ5,-0.037178483800368076,0.037178483800368076
F5H0C4,0.03703733007546461,0.03703733007546461
Q9NQZ2,0.036989483670148246,0.036989483670148246
Q6ZUS5,0.0368263480047314,0.0368263480047314
Q99571,-0.03678402722819875,0.03678402722819875
Q96HU1,-0.03653808560286359,0.03653808560286359
Q5JRA6,0.03653497374273895,0.03653497374273895
P68871,-0.036522492733859185,0.036522492733859185
Q96SC8,-0.03618010709170205,0.03618010709170205
Q13033,-0.03612576562477464,0.03612576562477464
Q8NCV1,0.03608009443870655,0.03608009443870655
Q9UNA1,-0.03581038739503541,0.03581038739503541
D6RA70,-0.03566667502639992,0.03566667502639992
Q14498,0.03558941702649737,0.03558941702649737
Q53SF7,-0.03553559373818214,0.03553559373818214
E7EWH8,-0.035514248964736664,0.035514248964736664
Q9P2K3,-0.035372586074822056,0.035372586074822056
I3L4Y1,-0.03532231793230786,0.03532231793230786
H0Y300,0.03520452450283448,0.03520452450283448
A0A087WYH3,0.0350802778901371,0.0350802778901371
C9J795,-0.0349680573345474,0.0349680573345474
A0A075B7B8,0.03488872211583947,0.03488872211583947
Q96P50,-0.03469282182950837,0.03469282182950837
O43719,-0.03461937559110967,0.03461937559110967
Q8IYD8,-0.03461555561358366,0.03461555561358366
I3L1Z9,-0.03425105885176607,0.03425105885176607
O43747,0.034212057456092536,0.034212057456092536
E9PKR9,-0.034076224563145185,0.034076224563145185
Q8TF46,-0.033720749909664914,0.033720749909664914
H0Y770,0.033392934756855994,0.033392934756855994
B4DHQ6,0.033345258201787784,0.033345258201787784
A0A7P0T8J3,-0.033165769330090335,0.033165769330090335
Q14195,0.0328296557223533,0.0328296557223533
A0A2R8Y471,-0.03267520812668065,0.03267520812668065
H0YL38,-0.03266747998594643,0.03266747998594643
D6RFW5,0.032632015946140375,0.032632015946140375
Q96QF0,-0.0325143807736468,0.0325143807736468
P00918,-0.03228790640365503,0.03228790640365503
Q8IV48,-0.03215430660284486,0.03215430660284486
A0A087WT59,0.0321211859868064,0.0321211859868064
E9PM66,-0.03210412021658568,0.03210412021658568
A0A8I5QKV4,0.03208684403072774,0.03208684403072774
F5H143,-0.031980776283242134,0.031980776283242134
K7ER25,-0.03182839871362577,0.03182839871362577
A0A7P0Z4H1,-0.03173981867854007,0.03173981867854007
Q5SR44,0.03170707249321089,0.03170707249321089
Q14568,0.03168417979167858,0.03168417979167858
F8VPD4,0.03153745916064758,0.03153745916064758
C9J2Q6,-0.03144268622845602,0.03144268622845602
